data,codice_regione,denominazione_regione,mese,terapia_intensiva_mm,ingressi_terapia_intensiva_mm
2021-01-01T17:00:00,13,Abruzzo,1,38.0,3.0
2021-01-01T17:00:00,17,Basilicata,1,5.0,1.0
2021-01-01T17:00:00,18,Calabria,1,18.0,3.0
2021-01-01T17:00:00,15,Campania,1,104.0,19.0
2021-01-01T17:00:00,8,Emilia-Romagna,1,231.0,11.0
2021-01-01T17:00:00,6,Friuli Venezia Giulia,1,63.0,11.0
2021-01-01T17:00:00,12,Lazio,1,305.0,13.0
2021-01-01T17:00:00,7,Liguria,1,63.0,4.0
2021-01-01T17:00:00,3,Lombardia,1,487.0,13.0
2021-01-01T17:00:00,11,Marche,1,61.0,6.0
2021-01-01T17:00:00,14,Molise,1,11.0,1.0
2021-01-01T17:00:00,21,P.A. Bolzano,1,27.0,1.0
2021-01-01T17:00:00,22,P.A. Trento,1,39.0,0.0
2021-01-01T17:00:00,1,Piemonte,1,184.0,5.0
2021-01-01T17:00:00,16,Puglia,1,137.0,13.0
2021-01-01T17:00:00,20,Sardegna,1,42.0,1.0
2021-01-01T17:00:00,19,Sicilia,1,176.0,11.0
2021-01-01T17:00:00,9,Toscana,1,143.0,5.0
2021-01-01T17:00:00,10,Umbria,1,46.0,3.0
2021-01-01T17:00:00,2,Valle d'Aosta,1,1.0,0.0
2021-01-01T17:00:00,5,Veneto,1,372.0,21.0
2021-01-02T17:00:00,13,Abruzzo,1,37.5,2.0
2021-01-02T17:00:00,17,Basilicata,1,4.0,0.5
2021-01-02T17:00:00,18,Calabria,1,18.5,3.0
2021-01-02T17:00:00,15,Campania,1,101.5,16.0
2021-01-02T17:00:00,8,Emilia-Romagna,1,230.0,14.0
2021-01-02T17:00:00,6,Friuli Venezia Giulia,1,63.0,7.5
2021-01-02T17:00:00,12,Lazio,1,310.0,11.5
2021-01-02T17:00:00,7,Liguria,1,64.5,4.5
2021-01-02T17:00:00,3,Lombardia,1,489.0,16.5
2021-01-02T17:00:00,11,Marche,1,63.0,5.0
2021-01-02T17:00:00,14,Molise,1,10.0,0.5
2021-01-02T17:00:00,21,P.A. Bolzano,1,25.5,0.5
2021-01-02T17:00:00,22,P.A. Trento,1,40.0,1.5
2021-01-02T17:00:00,1,Piemonte,1,183.0,2.5
2021-01-02T17:00:00,16,Puglia,1,138.0,10.5
2021-01-02T17:00:00,20,Sardegna,1,41.5,1.5
2021-01-02T17:00:00,19,Sicilia,1,181.0,15.5
2021-01-02T17:00:00,9,Toscana,1,141.0,5.5
2021-01-02T17:00:00,10,Umbria,1,46.5,2.0
2021-01-02T17:00:00,2,Valle d'Aosta,1,1.5,1.0
2021-01-02T17:00:00,5,Veneto,1,372.0,18.0
2021-01-03T17:00:00,13,Abruzzo,1,38.666666666666664,3.3333333333333335
2021-01-03T17:00:00,17,Basilicata,1,3.6666666666666665,0.3333333333333333
2021-01-03T17:00:00,18,Calabria,1,18.666666666666668,2.6666666666666665
2021-01-03T17:00:00,15,Campania,1,100.33333333333333,12.333333333333334
2021-01-03T17:00:00,8,Emilia-Romagna,1,231.33333333333334,14.333333333333334
2021-01-03T17:00:00,6,Friuli Venezia Giulia,1,62.333333333333336,7.0
2021-01-03T17:00:00,12,Lazio,1,309.6666666666667,13.333333333333334
2021-01-03T17:00:00,7,Liguria,1,66.66666666666667,5.0
2021-01-03T17:00:00,3,Lombardia,1,489.0,15.0
2021-01-03T17:00:00,11,Marche,1,64.33333333333333,6.0
2021-01-03T17:00:00,14,Molise,1,10.0,0.6666666666666666
2021-01-03T17:00:00,21,P.A. Bolzano,1,25.0,0.6666666666666666
2021-01-03T17:00:00,22,P.A. Trento,1,41.333333333333336,2.3333333333333335
2021-01-03T17:00:00,1,Piemonte,1,184.66666666666666,6.0
2021-01-03T17:00:00,16,Puglia,1,137.33333333333334,10.666666666666666
2021-01-03T17:00:00,20,Sardegna,1,42.0,2.0
2021-01-03T17:00:00,19,Sicilia,1,182.0,14.0
2021-01-03T17:00:00,9,Toscana,1,143.0,7.333333333333333
2021-01-03T17:00:00,10,Umbria,1,47.0,2.3333333333333335
2021-01-03T17:00:00,2,Valle d'Aosta,1,1.6666666666666667,0.6666666666666666
2021-01-03T17:00:00,5,Veneto,1,369.6666666666667,18.333333333333332
2021-01-04T17:00:00,13,Abruzzo,1,38.75,2.75
2021-01-04T17:00:00,17,Basilicata,1,3.75,0.5
2021-01-04T17:00:00,18,Calabria,1,18.75,2.25
2021-01-04T17:00:00,15,Campania,1,99.25,10.75
2021-01-04T17:00:00,8,Emilia-Romagna,1,232.25,13.75
2021-01-04T17:00:00,6,Friuli Venezia Giulia,1,62.5,7.0
2021-01-04T17:00:00,12,Lazio,1,311.75,13.75
2021-01-04T17:00:00,7,Liguria,1,68.75,5.0
2021-01-04T17:00:00,3,Lombardia,1,487.75,16.75
2021-01-04T17:00:00,11,Marche,1,64.5,5.25
2021-01-04T17:00:00,14,Molise,1,10.0,0.5
2021-01-04T17:00:00,21,P.A. Bolzano,1,25.0,0.75
2021-01-04T17:00:00,22,P.A. Trento,1,41.75,2.0
2021-01-04T17:00:00,1,Piemonte,1,184.25,5.25
2021-01-04T17:00:00,16,Puglia,1,137.25,11.0
2021-01-04T17:00:00,20,Sardegna,1,42.25,2.25
2021-01-04T17:00:00,19,Sicilia,1,183.0,13.75
2021-01-04T17:00:00,9,Toscana,1,142.5,7.5
2021-01-04T17:00:00,10,Umbria,1,46.25,2.25
2021-01-04T17:00:00,2,Valle d'Aosta,1,1.5,0.5
2021-01-04T17:00:00,5,Veneto,1,369.25,18.75
2021-01-05T17:00:00,13,Abruzzo,1,38.8,2.6
2021-01-05T17:00:00,17,Basilicata,1,3.8,0.4
2021-01-05T17:00:00,18,Calabria,1,18.8,2.2
2021-01-05T17:00:00,15,Campania,1,98.8,10.6
2021-01-05T17:00:00,8,Emilia-Romagna,1,232.2,14.6
2021-01-05T17:00:00,6,Friuli Venezia Giulia,1,61.8,6.2
2021-01-05T17:00:00,12,Lazio,1,311.0,13.8
2021-01-05T17:00:00,7,Liguria,1,69.6,4.4
2021-01-05T17:00:00,3,Lombardia,1,485.2,20.8
2021-01-05T17:00:00,11,Marche,1,64.6,4.8
2021-01-05T17:00:00,14,Molise,1,9.6,0.4
2021-01-05T17:00:00,21,P.A. Bolzano,1,25.4,1.0
2021-01-05T17:00:00,22,P.A. Trento,1,42.4,2.6
2021-01-05T17:00:00,1,Piemonte,1,184.8,7.2
2021-01-05T17:00:00,16,Puglia,1,140.2,13.4
2021-01-05T17:00:00,20,Sardegna,1,42.8,2.8
2021-01-05T17:00:00,19,Sicilia,1,184.4,14.4
2021-01-05T17:00:00,9,Toscana,1,141.8,7.6
2021-01-05T17:00:00,10,Umbria,1,45.6,2.6
2021-01-05T17:00:00,2,Valle d'Aosta,1,1.4,0.4
2021-01-05T17:00:00,5,Veneto,1,367.6,21.4
2021-01-06T17:00:00,13,Abruzzo,1,38.833333333333336,2.8333333333333335
2021-01-06T17:00:00,17,Basilicata,1,3.8333333333333335,0.5
2021-01-06T17:00:00,18,Calabria,1,19.0,2.1666666666666665
2021-01-06T17:00:00,15,Campania,1,98.83333333333333,10.333333333333334
2021-01-06T17:00:00,8,Emilia-Romagna,1,232.83333333333334,14.833333333333334
