codice_nuts_2,ITTER107,TIME_PERIOD,OBS_VALUE,Name,codice_regione
ITF1,ITF1,2020,1293941,Abruzzo,13
ITF5,ITF5,2020,553254,Basilicata,17
ITF6,ITF6,2020,1894110,Calabria,18
ITF3,ITF3,2020,5712143,Campania,15
ITH5,ITD5,2020,4464119,Emilia-Romagna,08
ITH4,ITD4,2020,1206216,Friuli-Venezia Giulia,06
ITI4,ITE4,2020,5755700,Lazio,12
ITC3,ITC3,2020,1524826,Liguria,07
ITC4,ITC4,2020,10027602,Lombardia,03
ITI3,ITE3,2020,1512672,Marche,11
ITF2,ITF2,2020,300516,Molise,14
ITC1,ITC1,2020,4311217,Piemonte,01
ITH1,ITD1,2020,532644,Provincia Autonoma Bolzano / Bozen,21
ITH2,ITD2,2020,545425,Provincia Autonoma Trento,22
ITF4,ITF4,2020,3953305,Puglia,16
ITG2,ITG2,2020,1611621,Sardegna,20
ITG1,ITG1,2020,4875290,Sicilia,19
ITI1,ITE1,2020,3692555,Toscana,09
ITI2,ITE2,2020,870165,Umbria,10
ITC2,ITC2,2020,125034,Valle d'Aosta / Vallée d'Aoste,02
ITH3,ITD3,2020,4879133,Veneto,05
