date,valore
2020-01-28T00:00:00,10
2020-01-29T00:00:00,13
2020-01-30T00:00:00,19
2020-01-31T00:00:00,22
2020-02-01T00:00:00,36
2020-02-02T00:00:00,30
2020-02-03T00:00:00,20
2020-02-04T00:00:00,18
2020-02-05T00:00:00,26
2020-02-06T00:00:00,18
2020-02-07T00:00:00,12
2020-02-08T00:00:00,15
2020-02-09T00:00:00,13
2020-02-10T00:00:00,48
2020-02-11T00:00:00,19
2020-02-12T00:00:00,45
2020-02-13T00:00:00,39
2020-02-14T00:00:00,55
2020-02-15T00:00:00,126
2020-02-16T00:00:00,77
2020-02-17T00:00:00,118
2020-02-18T00:00:00,143
2020-02-19T00:00:00,110
2020-02-20T00:00:00,335
2020-02-21T00:00:00,262
2020-02-22T00:00:00,311
2020-02-23T00:00:00,424
2020-02-24T00:00:00,523
2020-02-25T00:00:00,685
2020-02-26T00:00:00,612
2020-02-27T00:00:00,679
2020-02-28T00:00:00,978
2020-02-29T00:00:00,847
2020-03-01T00:00:00,1945
2020-03-02T00:00:00,1491
2020-03-03T00:00:00,1702
2020-03-04T00:00:00,1389
2020-03-05T00:00:00,1909
2020-03-06T00:00:00,2066
2020-03-07T00:00:00,2192
2020-03-08T00:00:00,2570
2020-03-09T00:00:00,2910
2020-03-10T00:00:00,4219
2020-03-11T00:00:00,2730
2020-03-12T00:00:00,3080
2020-03-13T00:00:00,3447
2020-03-14T00:00:00,3055
2020-03-15T00:00:00,3897
2020-03-16T00:00:00,3454
2020-03-17T00:00:00,2961
2020-03-18T00:00:00,3096
2020-03-19T00:00:00,2705
2020-03-20T00:00:00,4041
2020-03-21T00:00:00,2397
2020-03-22T00:00:00,2371
2020-03-23T00:00:00,2765
2020-03-24T00:00:00,2157
2020-03-25T00:00:00,2352
2020-03-26T00:00:00,2018
2020-03-27T00:00:00,2195
2020-03-28T00:00:00,1939
2020-03-29T00:00:00,1497
2020-03-30T00:00:00,2253
2020-03-31T00:00:00,1568
2020-04-01T00:00:00,2538
2020-04-02T00:00:00,1581
2020-04-03T00:00:00,1622
2020-04-04T00:00:00,1381
2020-04-05T00:00:00,1221
2020-04-06T00:00:00,1415
2020-04-07T00:00:00,1300
2020-04-08T00:00:00,1336
2020-04-09T00:00:00,1224
2020-04-10T00:00:00,1699
2020-04-11T00:00:00,959
2020-04-12T00:00:00,1103
2020-04-13T00:00:00,975
2020-04-14T00:00:00,1176
2020-04-15T00:00:00,1362
2020-04-16T00:00:00,1033
2020-04-17T00:00:00,1026
2020-04-18T00:00:00,854
2020-04-19T00:00:00,679
2020-04-20T00:00:00,1254
2020-04-21T00:00:00,790
2020-04-22T00:00:00,790
2020-04-23T00:00:00,726
2020-04-24T00:00:00,630
2020-04-25T00:00:00,569
2020-04-26T00:00:00,473
2020-04-27T00:00:00,747
2020-04-28T00:00:00,518
2020-04-29T00:00:00,490
2020-04-30T00:00:00,451
2020-05-01T00:00:00,456
2020-05-02T00:00:00,324
2020-05-03T00:00:00,248
2020-05-04T00:00:00,354
2020-05-05T00:00:00,396
2020-05-06T00:00:00,311
2020-05-07T00:00:00,286
2020-05-08T00:00:00,350
2020-05-09T00:00:00,175
2020-05-10T00:00:00,227
2020-05-11T00:00:00,276
2020-05-12T00:00:00,278
2020-05-13T00:00:00,230
2020-05-14T00:00:00,195
2020-05-15T00:00:00,241
2020-05-16T00:00:00,157
2020-05-17T00:00:00,122
2020-05-18T00:00:00,220
2020-05-19T00:00:00,184
2020-05-20T00:00:00,195
2020-05-21T00:00:00,148
2020-05-22T00:00:00,136
2020-05-23T00:00:00,95
2020-05-24T00:00:00,76
2020-05-25T00:00:00,162
2020-05-26T00:00:00,131
2020-05-27T00:00:00,142
2020-05-28T00:00:00,108
2020-05-29T00:00:00,103
2020-05-30T00:00:00,87
2020-05-31T00:00:00,55
2020-06-01T00:00:00,120
2020-06-02T00:00:00,50
2020-06-03T00:00:00,102
2020-06-04T00:00:00,77
2020-06-05T00:00:00,105
2020-06-06T00:00:00,62
2020-06-07T00:00:00,53
2020-06-08T00:00:00,107
2020-06-09T00:00:00,82
2020-06-10T00:00:00,85
2020-06-11T00:00:00,73
2020-06-12T00:00:00,93
2020-06-13T00:00:00,59
2020-06-14T00:00:00,66
2020-06-15T00:00:00,96
2020-06-16T00:00:00,81
2020-06-17T00:00:00,71
2020-06-18T00:00:00,68
2020-06-19T00:00:00,60
2020-06-20T00:00:00,57
2020-06-21T00:00:00,48
2020-06-22T00:00:00,76
2020-06-23T00:00:00,64
2020-06-24T00:00:00,85
2020-06-25T00:00:00,70
2020-06-26T00:00:00,80
2020-06-27T00:00:00,53
2020-06-28T00:00:00,48
2020-06-29T00:00:00,83
2020-06-30T00:00:00,64
2020-07-01T00:00:00,97
2020-07-02T00:00:00,69
2020-07-03T00:00:00,62
2020-07-04T00:00:00,60
2020-07-05T00:00:00,55
2020-07-06T00:00:00,86
2020-07-07T00:00:00,91
2020-07-08T00:00:00,96
2020-07-09T00:00:00,78
2020-07-10T00:00:00,95
2020-07-11T00:00:00,77
2020-07-12T00:00:00,62
2020-07-13T00:00:00,94
2020-07-14T00:00:00,96
2020-07-15T00:00:00,85
2020-07-16T00:00:00,77
2020-07-17T00:00:00,93
2020-07-18T00:00:00,77
2020-07-19T00:00:00,80
2020-07-20T00:00:00,122
2020-07-21T00:00:00,106
2020-07-22T00:00:00,105
2020-07-23T00:00:00,107
2020-07-24T00:00:00,93
2020-07-25T00:00:00,111
2020-07-26T00:00:00,92
2020-07-27T00:00:00,117
2020-07-28T00:00:00,123
2020-07-29T00:00:00,119
2020-07-30T00:00:00,106
2020-07-31T00:00:00,109
2020-08-01T00:00:00,145
2020-08-02T00:00:00,108
2020-08-03T00:00:00,183
2020-08-04T00:00:00,174
2020-08-05T00:00:00,180
2020-08-06T00:00:00,184
2020-08-07T00:00:00,179
2020-08-08T00:00:00,218
2020-08-09T00:00:00,180
2020-08-10T00:00:00,243
2020-08-11T00:00:00,221
2020-08-12T00:00:00,234
2020-08-13T00:00:00,259
2020-08-14T00:00:00,253
2020-08-15T00:00:00,304
2020-08-16T00:00:00,307
2020-08-17T00:00:00,492
2020-08-18T00:00:00,532
2020-08-19T00:00:00,486
2020-08-20T00:00:00,497
2020-08-21T00:00:00,528
2020-08-22T00:00:00,490
2020-08-23T00:00:00,507
2020-08-24T00:00:00,582
2020-08-25T00:00:00,540
2020-08-26T00:00:00,507
2020-08-27T00:00:00,477
2020-08-28T00:00:00,465
2020-08-29T00:00:00,369
2020-08-30T00:00:00,368
2020-08-31T00:00:00,464
2020-09-01T00:00:00,582
2020-09-02T00:00:00,497
2020-09-03T00:00:00,465
2020-09-04T00:00:00,527
2020-09-05T00:00:00,422
2020-09-06T00:00:00,427
2020-09-07T00:00:00,658
2020-09-08T00:00:00,527
2020-09-09T00:00:00,562
2020-09-10T00:00:00,592
2020-09-11T00:00:00,512
2020-09-12T00:00:00,527
2020-09-13T00:00:00,482
2020-09-14T00:00:00,694
2020-09-15T00:00:00,710
2020-09-16T00:00:00,651
2020-09-17T00:00:00,666
2020-09-18T00:00:00,656
2020-09-19T00:00:00,612
2020-09-20T00:00:00,650
2020-09-21T00:00:00,735
2020-09-22T00:00:00,736
2020-09-23T00:00:00,694
2020-09-24T00:00:00,630
2020-09-25T00:00:00,765
2020-09-26T00:00:00,721
2020-09-27T00:00:00,769
2020-09-28T00:00:00,1038
2020-09-29T00:00:00,958
2020-09-30T00:00:00,1258
2020-10-01T00:00:00,1666
2020-10-02T00:00:00,1668
2020-10-03T00:00:00,1827
2020-10-04T00:00:00,1763
2020-10-05T00:00:00,2463
2020-10-06T00:00:00,2230
2020-10-07T00:00:00,2682
2020-10-08T00:00:00,2826
2020-10-09T00:00:00,3096
2020-10-10T00:00:00,3392
2020-10-11T00:00:00,2957
2020-10-12T00:00:00,4648
2020-10-13T00:00:00,4350
2020-10-14T00:00:00,4734
2020-10-15T00:00:00,5161
2020-10-16T00:00:00,5759
2020-10-17T00:00:00,5601
2020-10-18T00:00:00,5802
2020-10-19T00:00:00,7500
2020-10-20T00:00:00,8217
2020-10-21T00:00:00,7620
2020-10-22T00:00:00,7655
2020-10-23T00:00:00,8279
2020-10-24T00:00:00,7883
2020-10-25T00:00:00,7941
2020-10-26T00:00:00,10061
2020-10-27T00:00:00,8644
2020-10-28T00:00:00,8968
2020-10-29T00:00:00,8627
2020-10-30T00:00:00,9066
2020-10-31T00:00:00,7742
2020-11-01T00:00:00,9917
2020-11-02T00:00:00,11293
2020-11-03T00:00:00,9502
2020-11-04T00:00:00,9698
2020-11-05T00:00:00,9576
2020-11-06T00:00:00,10204
2020-11-07T00:00:00,9161
2020-11-08T00:00:00,8339
2020-11-09T00:00:00,10727
2020-11-10T00:00:00,10106
2020-11-11T00:00:00,8688
2020-11-12T00:00:00,8384
2020-11-13T00:00:00,9175
2020-11-14T00:00:00,8071
2020-11-15T00:00:00,7757
2020-11-16T00:00:00,8748
2020-11-17T00:00:00,7346
2020-11-18T00:00:00,7626
2020-11-19T00:00:00,6153
2020-11-20T00:00:00,7292
2020-11-21T00:00:00,5704
2020-11-22T00:00:00,4924
2020-11-23T00:00:00,6714
2020-11-24T00:00:00,5745
2020-11-25T00:00:00,5955
2020-11-26T00:00:00,5555
2020-11-27T00:00:00,5878
2020-11-28T00:00:00,5460
2020-11-29T00:00:00,4118
2020-11-30T00:00:00,6215
2020-12-01T00:00:00,6531
2020-12-02T00:00:00,5743
2020-12-03T00:00:00,5404
2020-12-04T00:00:00,5799
2020-12-05T00:00:00,4974
2020-12-06T00:00:00,4323
2020-12-07T00:00:00,5664
2020-12-08T00:00:00,5010
2020-12-09T00:00:00,5583
2020-12-10T00:00:00,5554
2020-12-11T00:00:00,5283
2020-12-12T00:00:00,5134
2020-12-13T00:00:00,4586
2020-12-14T00:00:00,6008
2020-12-15T00:00:00,5433
2020-12-16T00:00:00,5387
2020-12-17T00:00:00,4996
2020-12-18T00:00:00,5252
2020-12-19T00:00:00,4849
2020-12-20T00:00:00,5216
2020-12-21T00:00:00,6012
2020-12-22T00:00:00,5752
2020-12-23T00:00:00,5942
2020-12-24T00:00:00,6121
2020-12-25T00:00:00,5439
2020-12-26T00:00:00,5844
2020-12-27T00:00:00,6246
2020-12-28T00:00:00,7793
2020-12-29T00:00:00,6514
2020-12-30T00:00:00,6362
2020-12-31T00:00:00,5980
2021-01-01T00:00:00,6489
2021-01-02T00:00:00,6086
2021-01-03T00:00:00,5837
2021-01-04T00:00:00,7260
2021-01-05T00:00:00,6113
2021-01-06T00:00:00,5032
2021-01-07T00:00:00,5182
2021-01-08T00:00:00,4837
2021-01-09T00:00:00,4377
2021-01-10T00:00:00,4113
2021-01-11T00:00:00,4651
2021-01-12T00:00:00,3964
2021-01-13T00:00:00,3867
2021-01-14T00:00:00,3737
2021-01-15T00:00:00,3884
2021-01-16T00:00:00,3584
2021-01-17T00:00:00,3228
2021-01-18T00:00:00,4243
2021-01-19T00:00:00,3840
2021-01-20T00:00:00,4176
2021-01-21T00:00:00,3648
2021-01-22T00:00:00,3971
2021-01-23T00:00:00,3997
2021-01-24T00:00:00,3588
2021-01-25T00:00:00,4398
2021-01-26T00:00:00,3786
2021-01-27T00:00:00,3864
2021-01-28T00:00:00,3807
2021-01-29T00:00:00,3645
2021-01-30T00:00:00,3483
2021-01-31T00:00:00,3380
2021-02-01T00:00:00,5028
2021-02-02T00:00:00,4176
2021-02-03T00:00:00,4178
2021-02-04T00:00:00,4074
2021-02-05T00:00:00,4204
2021-02-06T00:00:00,4260
2021-02-07T00:00:00,3888
2021-02-08T00:00:00,4810
2021-02-09T00:00:00,4282
2021-02-10T00:00:00,4768
2021-02-11T00:00:00,4113
2021-02-12T00:00:00,4398
2021-02-13T00:00:00,4138
2021-02-14T00:00:00,4331
2021-02-15T00:00:00,5631
2021-02-16T00:00:00,5214
2021-02-17T00:00:00,5717
2021-02-18T00:00:00,5923
2021-02-19T00:00:00,6155
2021-02-20T00:00:00,6667
2021-02-21T00:00:00,6209
2021-02-22T00:00:00,8148
2021-02-23T00:00:00,7404
2021-02-24T00:00:00,7580
2021-02-25T00:00:00,7280
2021-02-26T00:00:00,7805
2021-02-27T00:00:00,7466
2021-02-28T00:00:00,7180
2021-03-01T00:00:00,11005
2021-03-02T00:00:00,9016
2021-03-03T00:00:00,9366
2021-03-04T00:00:00,8925
2021-03-05T00:00:00,9628
2021-03-06T00:00:00,9114
2021-03-07T00:00:00,8582
2021-03-08T00:00:00,11039
2021-03-09T00:00:00,9133
2021-03-10T00:00:00,10256
2021-03-11T00:00:00,8865
2021-03-12T00:00:00,9315
2021-03-13T00:00:00,8730
2021-03-14T00:00:00,8373
2021-03-15T00:00:00,10420
2021-03-16T00:00:00,8634
2021-03-17T00:00:00,8644
2021-03-18T00:00:00,8131
2021-03-19T00:00:00,8322
2021-03-20T00:00:00,8428
2021-03-21T00:00:00,7308
2021-03-22T00:00:00,9166
2021-03-23T00:00:00,7982
2021-03-24T00:00:00,7583
2021-03-25T00:00:00,7430
2021-03-26T00:00:00,7268
2021-03-27T00:00:00,6844
2021-03-28T00:00:00,6156
2021-03-29T00:00:00,7565
2021-03-30T00:00:00,6454
2021-03-31T00:00:00,5444
2021-04-01T00:00:00,5984
2021-04-02T00:00:00,5430
2021-04-03T00:00:00,4618
2021-04-04T00:00:00,4361
2021-04-05T00:00:00,4471
2021-04-06T00:00:00,4964
2021-04-07T00:00:00,5004
2021-04-08T00:00:00,4745
2021-04-09T00:00:00,4441
2021-04-10T00:00:00,4662
2021-04-11T00:00:00,3984
2021-04-12T00:00:00,4990
2021-04-13T00:00:00,4352
2021-04-14T00:00:00,4201
2021-04-15T00:00:00,4042
2021-04-16T00:00:00,4143
2021-04-17T00:00:00,3970
2021-04-18T00:00:00,3931
2021-04-19T00:00:00,4719
2021-04-20T00:00:00,4461
2021-04-21T00:00:00,4388
2021-04-22T00:00:00,4109
2021-04-23T00:00:00,4179
2021-04-24T00:00:00,4022
2021-04-25T00:00:00,3652
2021-04-26T00:00:00,4291
2021-04-27T00:00:00,3706
2021-04-28T00:00:00,3403
2021-04-29T00:00:00,3087
2021-04-30T00:00:00,2974
2021-05-01T00:00:00,3215
2021-05-02T00:00:00,2648
2021-05-03T00:00:00,3287
2021-05-04T00:00:00,2808
2021-05-05T00:00:00,2876
2021-05-06T00:00:00,2426
2021-05-07T00:00:00,2350
2021-05-08T00:00:00,2113
2021-05-09T00:00:00,1936
2021-05-10T00:00:00,2396
2021-05-11T00:00:00,1949
2021-05-12T00:00:00,1895
2021-05-13T00:00:00,1688
2021-05-14T00:00:00,1533
2021-05-15T00:00:00,1540
2021-05-16T00:00:00,1330
2021-05-17T00:00:00,1552
2021-05-18T00:00:00,1368
2021-05-19T00:00:00,1250
2021-05-20T00:00:00,1135
2021-05-21T00:00:00,1013
2021-05-22T00:00:00,979
2021-05-23T00:00:00,936
2021-05-24T00:00:00,1107
2021-05-25T00:00:00,942
2021-05-26T00:00:00,902
2021-05-27T00:00:00,849
2021-05-28T00:00:00,840
2021-05-29T00:00:00,692
2021-05-30T00:00:00,641
2021-05-31T00:00:00,699
2021-06-01T00:00:00,756
2021-06-02T00:00:00,669
2021-06-03T00:00:00,620
2021-06-04T00:00:00,594
2021-06-05T00:00:00,570
2021-06-06T00:00:00,465
2021-06-07T00:00:00,537
2021-06-08T00:00:00,441
2021-06-09T00:00:00,495
2021-06-10T00:00:00,431
2021-06-11T00:00:00,348
2021-06-12T00:00:00,341
2021-06-13T00:00:00,313
2021-06-14T00:00:00,388
2021-06-15T00:00:00,292
2021-06-16T00:00:00,338
2021-06-17T00:00:00,264
2021-06-18T00:00:00,233
2021-06-19T00:00:00,209
2021-06-20T00:00:00,213
2021-06-21T00:00:00,236
2021-06-22T00:00:00,250
2021-06-23T00:00:00,236
2021-06-24T00:00:00,216
2021-06-25T00:00:00,185
2021-06-26T00:00:00,176
2021-06-27T00:00:00,218
