Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,285,39315,11552,885,481,4%,443,34,0&,38,2.91,-7.3%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Basilicata,49,12501,6918,1242,89,1%,85,15,-2.3&,4,0.72,33.3%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Calabria,351,29073,10233,532,315,3%,290,15,-0.3&,25,1.3,-7.4%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Campania,891,207149,73111,1264,1554,2%,1460,25,2&,94,1.62,-3.1%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Emilia-Romagna,1437,201988,54831,1227,2763,5%,2529,57,0.8&,234,5.24,1.3%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Friuli Venezia Giulia,385,60766,12738,1052,740,6%,677,56,-0.7&,63,5.2,-4.5%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Lazio,1243,189643,77510,1321,3062,4%,2766,47,-0.9&,296,5.05,3.5%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Liguria,228,65763,4966,322,719,14%,657,43,0.6&,62,4.02,-1.6%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Lombardia,1603,514166,56142,556,4062,7%,3610,36,-1.5&,452,4.47,-0.4%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Marche,440,50111,10542,694,673,6%,590,39,-0.2&,83,5.47,-2.4%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Molise,70,7553,1144,378,68,6%,59,20,5.4&,9,2.98,12.5%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
P.A. Bolzano,308,33519,12099,2274,228,2%,202,38,0&,26,4.89,0%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
P.A. Trento,135,25073,2430,448,332,14%,285,53,-0.7&,47,8.66,2.2%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Piemonte,495,212760,15000,346,2624,17%,2460,57,-0.2&,164,3.78,1.2%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Puglia,908,109428,56120,1400,1545,3%,1403,35,1.6&,142,3.54,-4.1%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Sardegna,202,35774,17748,1089,555,3%,507,31,1.4&,48,2.94,-2%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Sicilia,1439,120729,46425,934,1630,4%,1422,29,1.1&,208,4.19,-1.9%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Toscana,406,127852,8204,220,816,10%,698,19,-1.1&,118,3.17,-5.6%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Umbria,153,32303,4606,523,329,7%,280,32,0.7&,49,5.57,0%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Valle d'Aosta,18,7639,415,331,44,11%,41,33,-6.8&,3,2.39,-25%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Veneto,1369,298172,70640,1439,2631,4%,2293,47,-1&,338,6.89,0%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
Italia,12415,2381277,553374,919,25260,5%,22757,38,-0.1&,2503,4.15,-0.7%,Dati della Protezione Civile del 17 Gennaio 2021 ore 19:30
