Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,22,1324,1,185,23,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Basilicata,14,414,0,88,13,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Calabria,48,818,4,151,25,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Campania,182,3828,12,575,81,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Emilia-Romagna,145,6538,14,760,0,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Friuli Venezia Giulia,8,1277,0,175,0,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Lazio,105,6421,25,943,193,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Liguria,11,1702,5,212,12,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Lombardia,136,6369,31,1416,114,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Marche,11,951,2,209,57,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Molise,0,176,0,69,0,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
P.A. Bolzano,6,391,0,100,0,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
P.A. Trento,1,517,1,60,15,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Piemonte,45,5824,3,628,99,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Puglia,65,2799,9,462,0,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Sardegna,56,1602,4,216,33,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Sicilia,143,3001,23,643,196,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Toscana,63,5033,17,446,37,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Umbria,6,671,1,97,30,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Valle d'Aosta,0,67,0,15,6,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Veneto,44,6000,10,1000,0,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
Italia,1111,55723,162,8450,934,Dati della Protezione Civile del 17 Luglio 2021 ore 17:31
