Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,427,546.117,27.980,2.184,109,0%,105,8,-370%,4,031,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Basilicata,121,180.927,6.848,1.256,24,0%,23,4,-800%,1,018,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Calabria,421,546.605,46.420,2.495,149,0%,145,8,-520%,4,021,-2000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Campania,1.205,2.199.863,73.750,1.311,255,0%,243,4,-800%,12,021,910%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Emilia-Romagna,1.108,1.835.813,15.786,356,750,5%,721,16,030%,29,065,1150%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Friuli Venezia Giulia,244,480.379,4.934,411,124,3%,122,10,610%,2,017,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Lazio,1.256,2.034.321,43.042,751,474,1%,438,8,050%,36,063,-270%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Liguria,336,565.268,4.718,311,152,3%,150,10,270%,2,013,10000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Lombardia,1.851,3.500.119,34.253,343,520,2%,507,5,100%,13,013,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Marche,414,610.284,4.214,281,60,1%,57,4,-340%,3,020,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Molise,93,88.558,4.069,1.383,10,0%,10,3,1110%,0,000,-10000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
P.A. Bolzano,141,257.110,1.731,324,24,1%,23,4,450%,1,019,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
P.A. Trento,241,206.589,2.054,379,47,2%,45,8,2500%,2,037,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Piemonte,841,1.441.906,30.978,725,248,1%,239,6,000%,9,021,2860%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Puglia,580,1.462.541,11.248,286,181,2%,172,4,000%,9,023,1250%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Sardegna,180,442.774,6.689,421,87,1%,81,5,130%,6,038,2000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Sicilia,707,1.631.591,34.118,706,282,1%,255,5,040%,27,056,-360%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Toscana,625,1.384.986,79.367,2.149,185,0%,177,5,-530%,8,022,3330%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Umbria,291,368.724,2.727,315,117,4%,117,14,260%,0,000,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Valle d'Aosta,12,43.948,620,500,4,1%,4,3,000%,0,000,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Veneto,1.223,2.219.609,36.303,745,301,1%,289,6,-070%,12,025,000%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
Italia,12.317,22.048.032,471.849,797,4.103,1%,3.923,7,-030%,180,030,400%,Dati della Protezione Civile del 11 Settembre 2022 ore 23:45
