Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes
Abruzzo,567,1264,57,178,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Basilicata,141,429,23,91,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Calabria,338,813,27,146,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Campania,2153,4414,183,590,66,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Emilia-Romagna,2164,4199,225,661,30,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Friuli Venezia Giulia,366,1277,47,175,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Lazio,3018,6223,260,962,253,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Liguria,1372,1889,110,216,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Lombardia,7319,14651,801,1355,175,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Marche,559,963,74,164,37,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Molise,55,216,7,34,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
P.A. Bolzano,453,468,41,68,9,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
P.A. Trento,353,517,30,90,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Piemonte,4890,5442,353,627,100,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Puglia,1249,2867,158,437,76,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Sardegna,472,1416,57,172,33,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Sicilia,1450,4142,210,728,200,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Toscana,1656,4262,265,575,10,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
