data,inizio sintomi,prelievo/diagnosi
2020-07-26,13,
2020-07-27,33,
2020-07-28,34,
2020-07-29,38,
2020-07-30,50,
2020-07-31,75,
2020-08-01,108,
2020-08-02,119,105
2020-08-03,183,415
2020-08-04,185,385
2020-08-05,190,497
2020-08-06,186,390
2020-08-07,173,496
2020-08-08,222,342
2020-08-09,194,193
2020-08-10,267,484
2020-08-11,236,516
2020-08-12,245,624
2020-08-13,252,544
2020-08-14,268,625
2020-08-15,269,316
2020-08-16,301,300
2020-08-17,451,668
2020-08-18,516,887
2020-08-19,457,1020
2020-08-20,397,1060
2020-08-21,418,1332
2020-08-22,347,943
2020-08-23,345,609
2020-08-24,352,1401
2020-08-25,280,1350
2020-08-26,219,1111
2020-08-27,155,1071
2020-08-28,76,822
2020-08-29,22,349
2020-08-30,7,67
