data,inizio sintomi,prelievo/diagnosi
2020-01-28,9,
2020-01-29,11,2
2020-01-30,16,
2020-01-31,15,
2020-02-01,47,
2020-02-02,30,
2020-02-03,23,
2020-02-04,19,
2020-02-05,26,
2020-02-06,25,1
2020-02-07,18,
2020-02-08,13,
2020-02-09,13,
2020-02-10,60,
2020-02-11,25,
2020-02-12,41,
2020-02-13,46,
2020-02-14,63,
2020-02-15,137,
2020-02-16,77,
2020-02-17,130,
2020-02-18,157,
2020-02-19,126,
2020-02-20,399,3
2020-02-21,297,33
2020-02-22,382,57
2020-02-23,489,75
2020-02-24,669,86
2020-02-25,822,195
2020-02-26,741,278
2020-02-27,872,286
2020-02-28,1201,357
2020-02-29,1068,368
2020-03-01,2464,411
2020-03-02,1923,636
2020-03-03,2253,813
2020-03-04,1949,1085
2020-03-05,2629,1308
2020-03-06,2973,1543
2020-03-07,3124,1413
2020-03-08,3663,1462
2020-03-09,4427,2233
2020-03-10,6172,2481
2020-03-11,4224,2781
2020-03-12,4781,3163
2020-03-13,5315,4130
2020-03-14,4693,3562
2020-03-15,5822,2871
2020-03-16,5229,4843
2020-03-17,4366,5337
2020-03-18,4714,5712
2020-03-19,4040,5714
2020-03-20,5984,6230
2020-03-21,3606,4911
2020-03-22,3554,3954
2020-03-23,4182,6091
2020-03-24,3374,5892
2020-03-25,3684,5789
2020-03-26,3103,5670
2020-03-27,3400,5742
2020-03-28,3012,4521
2020-03-29,2298,2971
2020-03-30,3451,5097
2020-03-31,2442,5315
2020-04-01,3866,4994
2020-04-02,2483,4719
2020-04-03,2561,4458
2020-04-04,2167,3650
2020-04-05,1916,2593
2020-04-06,2306,4052
2020-04-07,2102,4190
2020-04-08,1973,4761
2020-04-09,1844,4677
2020-04-10,2536,5122
2020-04-11,1463,3383
2020-04-12,1538,1916
2020-04-13,1397,2237
2020-04-14,1623,3303
2020-04-15,1985,3958
2020-04-16,1479,3661
2020-04-17,1458,3456
2020-04-18,1163,2650
2020-04-19,917,1377
2020-04-20,1729,3048
2020-04-21,1080,3043
2020-04-22,1056,2594
2020-04-23,1080,2816
2020-04-24,936,2683
2020-04-25,796,1654
2020-04-26,599,1024
2020-04-27,982,1949
2020-04-28,753,2224
2020-04-29,822,2304
2020-04-30,776,2264
2020-05-01,600,1105
2020-05-02,418,1001
2020-05-03,331,511
2020-05-04,549,1435
2020-05-05,529,1544
2020-05-06,474,1432
2020-05-07,442,1384
2020-05-08,425,1377
2020-05-09,238,733
2020-05-10,312,334
2020-05-11,327,882
2020-05-12,385,923
2020-05-13,314,880
2020-05-14,280,900
2020-05-15,276,789
2020-05-16,180,616
2020-05-17,151,300
2020-05-18,244,648
2020-05-19,201,718
2020-05-20,234,666
2020-05-21,170,618
2020-05-22,156,693
2020-05-23,94,364
2020-05-24,65,147
2020-05-25,166,512
2020-05-26,143,538
2020-05-27,169,533
2020-05-28,128,517
2020-05-29,121,390
2020-05-30,97,286
2020-05-31,46,90
2020-06-01,153,389
2020-06-02,47,86
2020-06-03,100,353
2020-06-04,98,369
2020-06-05,117,383
2020-06-06,79,204
2020-06-07,54,83
2020-06-08,103,294
2020-06-09,102,357
2020-06-10,98,396
2020-06-11,76,444
2020-06-12,100,365
2020-06-13,52,217
2020-06-14,69,67
2020-06-15,90,277
2020-06-16,71,274
2020-06-17,66,302
2020-06-18,69,235
2020-06-19,58,292
2020-06-20,53,157
2020-06-21,45,60
2020-06-22,70,328
2020-06-23,53,290
2020-06-24,69,197
2020-06-25,65,203
2020-06-26,81,185
2020-06-27,62,121
2020-06-28,41,61
2020-06-29,87,234
2020-06-30,61,196
2020-07-01,89,236
2020-07-02,74,248
2020-07-03,58,234
2020-07-04,74,213
2020-07-05,59,78
2020-07-06,81,240
2020-07-07,78,224
2020-07-08,81,280
2020-07-09,77,213
2020-07-10,89,248
2020-07-11,70,157
2020-07-12,70,55
2020-07-13,97,185
2020-07-14,94,231
2020-07-15,83,235
2020-07-16,73,249
2020-07-17,100,283
2020-07-18,87,164
2020-07-19,85,109
2020-07-20,119,314
2020-07-21,111,276
2020-07-22,103,273
2020-07-23,119,263
2020-07-24,114,309
2020-07-25,116,183
2020-07-26,91,90
2020-07-27,130,318
2020-07-28,118,313
2020-07-29,125,482
2020-07-30,105,304
2020-07-31,121,311
2020-08-01,146,191
2020-08-02,129,107
2020-08-03,191,416
2020-08-04,195,387
2020-08-05,202,505
2020-08-06,197,390
2020-08-07,179,503
2020-08-08,231,344
2020-08-09,208,194
2020-08-10,281,483
2020-08-11,243,521
2020-08-12,266,632
2020-08-13,279,547
2020-08-14,295,636
2020-08-15,328,321
2020-08-16,351,302
2020-08-17,527,689
2020-08-18,619,915
2020-08-19,544,1047
2020-08-20,575,1111
2020-08-21,590,1380
2020-08-22,539,1029
2020-08-23,551,696
2020-08-24,642,1603
2020-08-25,588,1581
2020-08-26,573,1440
2020-08-27,507,1509
2020-08-28,523,1436
2020-08-29,387,1010
2020-08-30,421,558
2020-08-31,495,1387
2020-09-01,636,1369
2020-09-02,544,1580
2020-09-03,498,1521
2020-09-04,544,1634
2020-09-05,472,1121
2020-09-06,448,551
2020-09-07,625,1520
2020-09-08,517,1590
2020-09-09,473,1565
2020-09-10,503,1582
2020-09-11,404,1589
2020-09-12,386,1148
2020-09-13,323,568
2020-09-14,381,1525
2020-09-15,284,1621
2020-09-16,176,1295
2020-09-17,118,1028
2020-09-18,37,426
2020-09-19,8,57
2020-09-20,2,
