data,regione,classe_incidenza
20-02-17,Piemonte,0.01-1
20-02-24,Piemonte,0.01-1
20-07-13,Piemonte,0.01-1
20-06-08,Valle Aosta,0.01-1
20-07-13,Valle Aosta,0.01-1
20-08-10,Valle Aosta,0.01-1
20-02-24,PA Bolzano,0.01-1
20-05-25,PA Bolzano,0.01-1
21-01-04,PA Trento,0.01-1
20-02-17,Veneto,0.01-1
20-06-01,Veneto,0.01-1
20-06-08,Veneto,0.01-1
20-06-15,Veneto,0.01-1
20-06-22,Veneto,0.01-1
20-06-15,Friuli,0.01-1
20-06-22,Friuli,0.01-1
20-07-06,Friuli,0.01-1
20-02-17,Emilia,0.01-1
20-02-24,Toscana,0.01-1
20-05-25,Toscana,0.01-1
20-06-01,Toscana,0.01-1
20-06-15,Toscana,0.01-1
20-07-06,Toscana,0.01-1
20-02-24,Umbria,0.01-1
20-05-11,Umbria,0.01-1
20-05-18,Umbria,0.01-1
20-05-25,Umbria,0.01-1
20-06-01,Umbria,0.01-1
20-06-08,Umbria,0.01-1
20-06-15,Umbria,0.01-1
20-06-22,Umbria,0.01-1
20-06-29,Umbria,0.01-1
20-07-06,Umbria,0.01-1
20-07-13,Umbria,0.01-1
20-07-20,Umbria,0.01-1
20-05-25,Marche,0.01-1
20-06-08,Marche,0.01-1
20-06-15,Marche,0.01-1
20-06-22,Marche,0.01-1
20-06-29,Marche,0.01-1
20-07-06,Marche,0.01-1
20-07-13,Marche,0.01-1
20-02-24,Lazio,0.01-1
20-06-15,Lazio,0.01-1
20-02-24,Abruzzo,0.01-1
20-06-08,Abruzzo,0.01-1
20-06-15,Abruzzo,0.01-1
20-06-22,Abruzzo,0.01-1
20-07-13,Abruzzo,0.01-1
21-01-04,Abruzzo,0.01-1
20-03-09,Molise,0.01-1
20-06-01,Molise,0.01-1
20-06-08,Molise,0.01-1
20-06-22,Molise,0.01-1
20-07-06,Molise,0.01-1
20-08-03,Molise,0.01-1
20-02-24,Campania,0.01-1
20-05-25,Campania,0.01-1
20-06-01,Campania,0.01-1
20-06-08,Campania,0.01-1
20-06-15,Campania,0.01-1
20-07-06,Campania,0.01-1
21-01-04,Campania,0.01-1
20-02-24,Puglia,0.01-1
20-05-25,Puglia,0.01-1
20-06-01,Puglia,0.01-1
20-06-08,Puglia,0.01-1
20-06-15,Puglia,0.01-1
20-06-22,Puglia,0.01-1
20-06-29,Puglia,0.01-1
20-07-06,Puglia,0.01-1
20-07-13,Puglia,0.01-1
20-07-20,Puglia,0.01-1
20-05-11,Basilicata,0.01-1
20-05-25,Basilicata,0.01-1
20-06-01,Basilicata,0.01-1
20-06-08,Basilicata,0.01-1
20-06-22,Basilicata,0.01-1
20-06-29,Basilicata,0.01-1
20-07-06,Basilicata,0.01-1
20-07-13,Basilicata,0.01-1
20-07-27,Basilicata,0.01-1
20-02-24,Calabria,0.01-1
20-03-02,Calabria,0.01-1
20-04-27,Calabria,0.01-1
20-05-11,Calabria,0.01-1
20-05-18,Calabria,0.01-1
20-05-25,Calabria,0.01-1
20-06-01,Calabria,0.01-1
20-06-08,Calabria,0.01-1
20-06-15,Calabria,0.01-1
