data,inizio sintomi,prelievo/diagnosi
2021-01-20,1232,
2021-01-21,1487,
2021-01-22,2496,
2021-01-23,3139,
2021-01-24,3548,
2021-01-25,5271,
2021-01-26,5437,14518
2021-01-27,5616,13277
2021-01-28,5626,12170
2021-01-29,5428,12883
2021-01-30,5153,10171
2021-01-31,4887,4774
2021-02-01,7188,13380
2021-02-02,5948,13898
2021-02-03,6003,13277
2021-02-04,5725,13281
2021-02-05,5710,13583
2021-02-06,5531,10737
2021-02-07,5006,4779
2021-02-08,5999,13871
2021-02-09,5198,14627
2021-02-10,5423,13843
2021-02-11,4684,13344
2021-02-12,4616,13055
2021-02-13,4307,9849
2021-02-14,4139,4370
2021-02-15,5074,12883
2021-02-16,4426,13977
2021-02-17,4632,13919
2021-02-18,3771,14315
2021-02-19,2734,14890
2021-02-20,1828,11767
2021-02-21,979,4822
2021-02-22,749,7888
2021-02-23,226,2744
2021-02-24,22,21
