DATA_INIZIO_SINTOMI,CASI,iss_date
01/01/2021,9560,20/10/2022
01/01/2022,45883,20/10/2022
01/02/2020,53,20/10/2022
01/02/2021,7924,20/10/2022
01/02/2022,31148,20/10/2022
01/03/2020,2481,20/10/2022
01/03/2021,14972,20/10/2022
01/03/2022,14570,20/10/2022
01/04/2020,4119,20/10/2022
01/04/2021,10058,20/10/2022
01/04/2022,20612,20/10/2022
01/05/2020,698,20/10/2022
01/05/2021,5092,20/10/2022
01/05/2022,12365,20/10/2022
01/06/2020,173,20/10/2022
01/06/2021,1254,20/10/2022
01/06/2022,5927,20/10/2022
01/07/2020,118,20/10/2022
01/07/2021,636,20/10/2022
01/07/2022,22839,20/10/2022
01/08/2020,161,20/10/2022
01/08/2021,3602,20/10/2022
01/08/2022,16907,20/10/2022
01/09/2020,748,20/10/2022
01/09/2021,3613,20/10/2022
01/09/2022,5745,20/10/2022
01/10/2020,2350,20/10/2022
01/10/2021,1843,20/10/2022
01/10/2022,10338,20/10/2022
01/11/2020,17732,20/10/2022
01/11/2021,3838,20/10/2022
01/12/2020,10540,20/10/2022
01/12/2021,10129,20/10/2022
02/01/2021,9731,20/10/2022
02/01/2022,46968,20/10/2022
02/02/2020,42,20/10/2022
02/02/2021,6577,20/10/2022
02/02/2022,28171,20/10/2022
02/03/2020,1943,20/10/2022
02/03/2021,12562,20/10/2022
02/03/2022,14816,20/10/2022
02/04/2020,2717,20/10/2022
02/04/2021,8786,20/10/2022
02/04/2022,17835,20/10/2022
02/05/2020,509,20/10/2022
02/05/2021,4319,20/10/2022
02/05/2022,17186,20/10/2022
02/06/2020,66,20/10/2022
02/06/2021,1141,20/10/2022
02/06/2022,4524,20/10/2022
02/07/2020,90,20/10/2022
02/07/2021,565,20/10/2022
02/07/2022,19413,20/10/2022
02/08/2020,127,20/10/2022
02/08/2021,4181,20/10/2022
02/08/2022,12647,20/10/2022
02/09/2020,651,20/10/2022
02/09/2021,2972,20/10/2022
02/09/2022,5197,20/10/2022
02/10/2020,2279,20/10/2022
02/10/2021,1597,20/10/2022
02/10/2022,11224,20/10/2022
02/11/2020,20937,20/10/2022
02/11/2021,4151,20/10/2022
02/12/2020,9152,20/10/2022
02/12/2021,8690,20/10/2022
03/01/2021,8620,20/10/2022
03/01/2022,69322,20/10/2022
03/02/2020,25,20/10/2022
03/02/2021,6559,20/10/2022
03/02/2022,24671,20/10/2022
03/03/2020,2241,20/10/2022
03/03/2021,12641,20/10/2022
03/03/2022,14203,20/10/2022
03/04/2020,2725,20/10/2022
03/04/2021,7430,20/10/2022
03/04/2022,16232,20/10/2022
03/05/2020,411,20/10/2022
03/05/2021,5433,20/10/2022
03/05/2022,14402,20/10/2022
03/06/2020,139,20/10/2022
03/06/2021,1135,20/10/2022
03/06/2022,6644,20/10/2022
03/07/2020,75,20/10/2022
03/07/2021,576,20/10/2022
03/07/2022,20438,20/10/2022
03/08/2020,223,20/10/2022
03/08/2021,4094,20/10/2022
03/08/2022,11370,20/10/2022
03/09/2020,598,20/10/2022
03/09/2021,2919,20/10/2022
03/09/2022,4534,20/10/2022
03/10/2020,2384,20/10/2022
03/10/2021,1496,20/10/2022
03/10/2022,15931,20/10/2022
03/11/2020,17489,20/10/2022
03/11/2021,4464,20/10/2022
03/12/2020,8396,20/10/2022
03/12/2021,8891,20/10/2022
04/01/2021,10993,20/10/2022
04/01/2022,55843,20/10/2022
04/02/2020,23,20/10/2022
04/02/2021,6307,20/10/2022
04/02/2022,21873,20/10/2022
04/03/2020,1955,20/10/2022
04/03/2021,12176,20/10/2022
04/03/2022,14196,20/10/2022
04/04/2020,2357,20/10/2022
04/04/2021,6634,20/10/2022
04/04/2022,24790,20/10/2022
04/05/2020,656,20/10/2022
04/05/2021,4714,20/10/2022
04/05/2022,14266,20/10/2022
04/06/2020,128,20/10/2022
04/06/2021,1064,20/10/2022
04/06/2022,5805,20/10/2022
04/07/2020,84,20/10/2022
04/07/2021,627,20/10/2022
04/07/2022,32538,20/10/2022
04/08/2020,201,20/10/2022
04/08/2021,4018,20/10/2022
04/08/2022,10012,20/10/2022
04/09/2020,655,20/10/2022
04/09/2021,2705,20/10/2022
04/09/2022,4567,20/10/2022
04/10/2020,2365,20/10/2022
04/10/2021,1924,20/10/2022
04/10/2022,13895,20/10/2022
04/11/2020,19851,20/10/2022
04/11/2021,4261,20/10/2022
04/12/2020,8950,20/10/2022
04/12/2021,8573,20/10/2022
05/01/2021,9910,20/10/2022
05/01/2022,49727,20/10/2022
05/02/2020,29,20/10/2022
05/02/2021,6500,20/10/2022
05/02/2022,20114,20/10/2022
05/03/2020,2627,20/10/2022
05/03/2021,13245,20/10/2022
05/03/2022,14089,20/10/2022
05/04/2020,2056,20/10/2022
05/04/2021,7659,20/10/2022
