DATA_INIZIO_SINTOMI,iss_date,CASI_SINT
28/01/2020,09/08/2022,13
29/01/2020,09/08/2022,17
30/01/2020,09/08/2022,26
31/01/2020,09/08/2022,29
01/02/2020,09/08/2022,44
02/02/2020,09/08/2022,35
03/02/2020,09/08/2022,23
04/02/2020,09/08/2022,21
05/02/2020,09/08/2022,28
06/02/2020,09/08/2022,21
07/02/2020,09/08/2022,19
08/02/2020,09/08/2022,16
09/02/2020,09/08/2022,17
10/02/2020,09/08/2022,55
11/02/2020,09/08/2022,25
12/02/2020,09/08/2022,50
13/02/2020,09/08/2022,44
14/02/2020,09/08/2022,63
15/02/2020,09/08/2022,139
16/02/2020,09/08/2022,77
17/02/2020,09/08/2022,136
18/02/2020,09/08/2022,151
19/02/2020,09/08/2022,135
20/02/2020,09/08/2022,385
21/02/2020,09/08/2022,299
22/02/2020,09/08/2022,379
23/02/2020,09/08/2022,464
24/02/2020,09/08/2022,614
25/02/2020,09/08/2022,769
26/02/2020,09/08/2022,689
27/02/2020,09/08/2022,807
28/02/2020,09/08/2022,1138
29/02/2020,09/08/2022,1008
01/03/2020,09/08/2022,2269
02/03/2020,09/08/2022,1796
03/03/2020,09/08/2022,2032
04/03/2020,09/08/2022,1767
05/03/2020,09/08/2022,2383
06/03/2020,09/08/2022,2662
07/03/2020,09/08/2022,2855
08/03/2020,09/08/2022,3380
09/03/2020,09/08/2022,3960
10/03/2020,09/08/2022,5478
11/03/2020,09/08/2022,3745
12/03/2020,09/08/2022,4258
13/03/2020,09/08/2022,4750
14/03/2020,09/08/2022,4090
15/03/2020,09/08/2022,5203
16/03/2020,09/08/2022,4723
17/03/2020,09/08/2022,4046
18/03/2020,09/08/2022,4187
19/03/2020,09/08/2022,3743
20/03/2020,09/08/2022,5400
21/03/2020,09/08/2022,3343
22/03/2020,09/08/2022,3369
23/03/2020,09/08/2022,3811
24/03/2020,09/08/2022,3050
25/03/2020,09/08/2022,3252
26/03/2020,09/08/2022,2765
27/03/2020,09/08/2022,2986
28/03/2020,09/08/2022,2665
29/03/2020,09/08/2022,2086
30/03/2020,09/08/2022,3062
31/03/2020,09/08/2022,2160
01/04/2020,09/08/2022,3390
02/04/2020,09/08/2022,2198
03/04/2020,09/08/2022,2251
04/04/2020,09/08/2022,1907
05/04/2020,09/08/2022,1720
06/04/2020,09/08/2022,1944
07/04/2020,09/08/2022,1830
08/04/2020,09/08/2022,1804
09/04/2020,09/08/2022,1660
10/04/2020,09/08/2022,2181
11/04/2020,09/08/2022,1294
12/04/2020,09/08/2022,1443
13/04/2020,09/08/2022,1311
14/04/2020,09/08/2022,1578
15/04/2020,09/08/2022,1761
