iss_date,DATA_INIZIO_SINTOMI,CASI_SINT,e
10/12/2020,28/01/2020,9,
10/12/2020,29/01/2020,14,
10/12/2020,30/01/2020,16,
10/12/2020,31/01/2020,14,
10/12/2020,01/02/2020,44,
10/12/2020,02/02/2020,30,
10/12/2020,03/02/2020,20,
10/12/2020,04/02/2020,21,
10/12/2020,05/02/2020,29,
10/12/2020,06/02/2020,22,
10/12/2020,07/02/2020,15,
10/12/2020,08/02/2020,14,
10/12/2020,09/02/2020,15,
10/12/2020,10/02/2020,55,
10/12/2020,11/02/2020,20,
10/12/2020,12/02/2020,45,
10/12/2020,13/02/2020,42,
10/12/2020,14/02/2020,60,
10/12/2020,15/02/2020,135,
10/12/2020,16/02/2020,77,
10/12/2020,17/02/2020,127,
10/12/2020,18/02/2020,153,
10/12/2020,19/02/2020,127,
10/12/2020,20/02/2020,379,
10/12/2020,21/02/2020,293,
10/12/2020,22/02/2020,366,
10/12/2020,23/02/2020,472,
10/12/2020,24/02/2020,616,
10/12/2020,25/02/2020,772,
10/12/2020,26/02/2020,690,
10/12/2020,27/02/2020,798,
10/12/2020,28/02/2020,1134,
10/12/2020,29/02/2020,1006,
10/12/2020,01/03/2020,2255,
10/12/2020,02/03/2020,1792,
10/12/2020,03/03/2020,2033,
10/12/2020,04/03/2020,1760,
10/12/2020,05/03/2020,2394,
10/12/2020,06/03/2020,2665,
10/12/2020,07/03/2020,2851,
10/12/2020,08/03/2020,3345,
10/12/2020,09/03/2020,3931,
10/12/2020,10/03/2020,5455,
10/12/2020,11/03/2020,3712,
10/12/2020,12/03/2020,4198,
10/12/2020,13/03/2020,4709,
10/12/2020,14/03/2020,4091,
10/12/2020,15/03/2020,5188,
10/12/2020,16/03/2020,4693,
10/12/2020,17/03/2020,3991,
10/12/2020,18/03/2020,4192,
10/12/2020,19/03/2020,3729,
10/12/2020,20/03/2020,5314,
10/12/2020,21/03/2020,3288,
10/12/2020,22/03/2020,3302,
10/12/2020,23/03/2020,3787,
10/12/2020,24/03/2020,3021,
10/12/2020,25/03/2020,3217,
10/12/2020,26/03/2020,2750,
10/12/2020,27/03/2020,3001,
10/12/2020,28/03/2020,2648,
10/12/2020,29/03/2020,2076,
10/12/2020,30/03/2020,3034,
10/12/2020,31/03/2020,2123,
10/12/2020,01/04/2020,3334,
10/12/2020,02/04/2020,2139,
10/12/2020,03/04/2020,2230,
10/12/2020,04/04/2020,1851,
10/12/2020,05/04/2020,1684,
10/12/2020,06/04/2020,1937,
10/12/2020,07/04/2020,1782,
10/12/2020,08/04/2020,1759,
10/12/2020,09/04/2020,1594,
10/12/2020,10/04/2020,2155,
10/12/2020,11/04/2020,1263,
10/12/2020,12/04/2020,1417,
10/12/2020,13/04/2020,1282,
10/12/2020,14/04/2020,1505,
10/12/2020,15/04/2020,1692,
10/12/2020,16/04/2020,1339,
10/12/2020,17/04/2020,1301,
10/12/2020,18/04/2020,1111,
10/12/2020,19/04/2020,862,
10/12/2020,20/04/2020,1574,
10/12/2020,21/04/2020,989,
10/12/2020,22/04/2020,1010,
10/12/2020,23/04/2020,915,
10/12/2020,24/04/2020,818,
10/12/2020,25/04/2020,715,
10/12/2020,26/04/2020,561,
10/12/2020,27/04/2020,876,
10/12/2020,28/04/2020,636,
10/12/2020,29/04/2020,598,
10/12/2020,30/04/2020,541,
10/12/2020,01/05/2020,535,
10/12/2020,02/05/2020,391,
10/12/2020,03/05/2020,308,
10/12/2020,04/05/2020,434,
10/12/2020,05/05/2020,448,
10/12/2020,06/05/2020,372,
10/12/2020,07/05/2020,348,
10/12/2020,08/05/2020,389,
10/12/2020,09/05/2020,204,
10/12/2020,10/05/2020,264,
10/12/2020,11/05/2020,303,
10/12/2020,12/05/2020,315,
10/12/2020,13/05/2020,263,
10/12/2020,14/05/2020,225,
10/12/2020,15/05/2020,260,
10/12/2020,16/05/2020,176,
10/12/2020,17/05/2020,143,
10/12/2020,18/05/2020,252,
10/12/2020,19/05/2020,197,
10/12/2020,20/05/2020,219,
10/12/2020,21/05/2020,156,
10/12/2020,22/05/2020,147,
10/12/2020,23/05/2020,107,
10/12/2020,24/05/2020,71,
10/12/2020,25/05/2020,163,
10/12/2020,26/05/2020,140,
10/12/2020,27/05/2020,145,
10/12/2020,28/05/2020,109,
10/12/2020,29/05/2020,109,
10/12/2020,30/05/2020,91,
10/12/2020,31/05/2020,53,
10/12/2020,01/06/2020,133,
10/12/2020,02/06/2020,54,
10/12/2020,03/06/2020,107,
10/12/2020,04/06/2020,81,
10/12/2020,05/06/2020,105,
10/12/2020,06/06/2020,72,
10/12/2020,07/06/2020,62,
10/12/2020,08/06/2020,109,
10/12/2020,09/06/2020,89,
10/12/2020,10/06/2020,95,
10/12/2020,11/06/2020,72,
10/12/2020,12/06/2020,99,
10/12/2020,13/06/2020,59,
10/12/2020,14/06/2020,72,
10/12/2020,15/06/2020,92,
10/12/2020,16/06/2020,76,
10/12/2020,17/06/2020,71,
10/12/2020,18/06/2020,71,
10/12/2020,19/06/2020,69,
10/12/2020,20/06/2020,55,
10/12/2020,21/06/2020,53,
10/12/2020,22/06/2020,77,
10/12/2020,23/06/2020,64,
10/12/2020,24/06/2020,81,
10/12/2020,25/06/2020,69,
10/12/2020,26/06/2020,75,
10/12/2020,27/06/2020,60,
10/12/2020,28/06/2020,46,
10/12/2020,29/06/2020,83,
10/12/2020,30/06/2020,58,
10/12/2020,01/07/2020,97,
10/12/2020,02/07/2020,74,
10/12/2020,03/07/2020,61,
10/12/2020,04/07/2020,63,
10/12/2020,05/07/2020,57,
10/12/2020,06/07/2020,86,
10/12/2020,07/07/2020,85,
10/12/2020,08/07/2020,90,
10/12/2020,09/07/2020,78,
10/12/2020,10/07/2020,101,
10/12/2020,11/07/2020,74,
10/12/2020,12/07/2020,67,
10/12/2020,13/07/2020,94,
10/12/2020,14/07/2020,107,
10/12/2020,15/07/2020,94,
10/12/2020,16/07/2020,75,
10/12/2020,17/07/2020,100,
10/12/2020,18/07/2020,86,
10/12/2020,19/07/2020,81,
10/12/2020,20/07/2020,133,
10/12/2020,21/07/2020,112,
10/12/2020,22/07/2020,108,
10/12/2020,23/07/2020,120,
10/12/2020,24/07/2020,109,
10/12/2020,25/07/2020,121,
10/12/2020,26/07/2020,91,
10/12/2020,27/07/2020,124,
10/12/2020,28/07/2020,125,
10/12/2020,29/07/2020,123,
10/12/2020,30/07/2020,112,
