DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
01/01/2021,5893,15/12/2022
01/01/2022,37126,15/12/2022
01/02/2021,13482,15/12/2022
01/02/2022,114809,15/12/2022
01/03/2020,410,15/12/2022
01/03/2021,22077,15/12/2022
01/03/2022,36755,15/12/2022
01/04/2020,5026,15/12/2022
01/04/2021,21710,15/12/2022
01/04/2022,72188,15/12/2022
01/05/2020,1084,15/12/2022
01/05/2021,6136,15/12/2022
01/05/2022,15447,15/12/2022
01/06/2020,377,15/12/2022
01/06/2021,3160,15/12/2022
01/06/2022,19587,15/12/2022
01/07/2020,237,15/12/2022
01/07/2021,915,15/12/2022
01/07/2022,89973,15/12/2022
01/08/2020,202,15/12/2022
01/08/2021,2400,15/12/2022
01/08/2022,69754,15/12/2022
01/09/2020,1430,15/12/2022
01/09/2021,6619,15/12/2022
01/09/2022,18631,15/12/2022
01/10/2020,3058,15/12/2022
01/10/2021,3167,15/12/2022
01/10/2022,28911,15/12/2022
01/11/2020,13876,15/12/2022
01/11/2021,2879,15/12/2022
01/11/2022,8643,15/12/2022
01/12/2020,23249,15/12/2022
01/12/2021,16266,15/12/2022
01/12/2022,33081,15/12/2022
02/01/2021,16301,15/12/2022
02/01/2022,68597,15/12/2022
02/02/2021,14016,15/12/2022
02/02/2022,107019,15/12/2022
02/03/2020,630,15/12/2022
02/03/2021,23220,15/12/2022
02/03/2022,43187,15/12/2022
02/04/2020,4777,15/12/2022
02/04/2021,20564,15/12/2022
02/04/2022,55702,15/12/2022
02/05/2020,1022,15/12/2022
02/05/2021,4632,15/12/2022
02/05/2022,69639,15/12/2022
02/06/2020,87,15/12/2022
02/06/2021,1258,15/12/2022
02/06/2022,6944,15/12/2022
02/07/2020,250,15/12/2022
02/07/2021,993,15/12/2022
02/07/2022,73141,15/12/2022
02/08/2020,106,15/12/2022
02/08/2021,6660,15/12/2022
02/08/2022,44798,15/12/2022
02/09/2020,1622,15/12/2022
02/09/2021,6195,15/12/2022
02/09/2022,17717,15/12/2022
02/10/2020,3341,15/12/2022
02/10/2021,2713,15/12/2022
02/10/2022,12740,15/12/2022
02/11/2020,35434,15/12/2022
02/11/2021,6498,15/12/2022
02/11/2022,41378,15/12/2022
02/12/2020,21658,15/12/2022
02/12/2021,17049,15/12/2022
02/12/2022,32847,15/12/2022
03/01/2021,8408,15/12/2022
03/01/2022,229431,15/12/2022
03/02/2021,13405,15/12/2022
03/02/2022,94105,15/12/2022
03/03/2020,803,15/12/2022
03/03/2021,24022,15/12/2022
03/03/2022,40625,15/12/2022
03/04/2020,4447,15/12/2022
03/04/2021,15576,15/12/2022
03/04/2022,25978,15/12/2022
03/05/2020,505,15/12/2022
03/05/2021,11508,15/12/2022
03/05/2022,47306,15/12/2022
03/06/2020,358,15/12/2022
03/06/2021,2747,15/12/2022
03/06/2022,24627,15/12/2022
03/07/2020,244,15/12/2022
03/07/2021,832,15/12/2022
03/07/2022,34011,15/12/2022
03/08/2020,423,15/12/2022
03/08/2021,7136,15/12/2022
03/08/2022,42304,15/12/2022
03/09/2020,1609,15/12/2022
03/09/2021,6267,15/12/2022
03/09/2022,13598,15/12/2022
03/10/2020,2619,15/12/2022
03/10/2021,1074,15/12/2022
03/10/2022,64350,15/12/2022
03/11/2020,38457,15/12/2022
03/11/2021,6677,15/12/2022
03/11/2022,27579,15/12/2022
03/12/2020,20264,15/12/2022
03/12/2021,17530,15/12/2022
03/12/2022,24795,15/12/2022
04/01/2021,23028,15/12/2022
04/01/2022,218432,15/12/2022
04/02/2021,13343,15/12/2022
04/02/2022,91397,15/12/2022
04/03/2020,1075,15/12/2022
04/03/2021,22904,15/12/2022
04/03/2022,43025,15/12/2022
04/04/2020,3667,15/12/2022
04/04/2021,5670,15/12/2022
04/04/2022,96595,15/12/2022
04/05/2020,1456,15/12/2022
04/05/2021,11418,15/12/2022
04/05/2022,47200,15/12/2022
04/06/2020,361,15/12/2022
04/06/2021,2982,15/12/2022
04/06/2022,15539,15/12/2022
04/07/2020,225,15/12/2022
04/07/2021,405,15/12/2022
04/07/2022,148573,15/12/2022
04/08/2020,394,15/12/2022
04/08/2021,7164,15/12/2022
04/08/2022,37558,15/12/2022
04/09/2020,1653,15/12/2022
04/09/2021,4645,15/12/2022
04/09/2022,5804,15/12/2022
04/10/2020,1763,15/12/2022
04/10/2021,3133,15/12/2022
04/10/2022,44005,15/12/2022
04/11/2020,41759,15/12/2022
04/11/2021,7204,15/12/2022
04/11/2022,26571,15/12/2022
04/12/2020,20513,15/12/2022
04/12/2021,14605,15/12/2022
04/12/2022,11161,15/12/2022
05/01/2021,24944,15/12/2022
05/01/2022,220480,15/12/2022
05/02/2021,13664,15/12/2022
05/02/2022,74106,15/12/2022
05/03/2020,1302,15/12/2022
05/03/2021,24413,15/12/2022
05/03/2022,37893,15/12/2022
05/04/2020,2600,15/12/2022
05/04/2021,7259,15/12/2022
05/04/2022,69673,15/12/2022
05/05/2020,1537,15/12/2022
05/05/2021,10808,15/12/2022
05/05/2022,43940,15/12/2022
05/06/2020,385,15/12/2022
05/06/2021,2071,15/12/2022
05/06/2022,8129,15/12/2022
05/07/2020,77,15/12/2022
05/07/2021,1142,15/12/2022
05/07/2022,108347,15/12/2022
05/08/2020,509,15/12/2022
05/08/2021,6424,15/12/2022
05/08/2022,34970,15/12/2022
05/09/2020,1157,15/12/2022
05/09/2021,2383,15/12/2022
05/09/2022,26224,15/12/2022
05/10/2020,4680,15/12/2022
05/10/2021,3213,15/12/2022
05/10/2022,46867,15/12/2022
05/11/2020,40696,15/12/2022
05/11/2021,7342,15/12/2022
05/11/2022,20864,15/12/2022
05/12/2020,15445,15/12/2022
05/12/2021,6975,15/12/2022
05/12/2022,51971,15/12/2022
06/01/2021,9131,15/12/2022
06/01/2022,74564,15/12/2022
06/02/2020,<5,15/12/2022
06/02/2021,10778,15/12/2022
06/02/2022,34083,15/12/2022
06/03/2020,1531,15/12/2022
06/03/2021,18222,15/12/2022
06/03/2022,19954,15/12/2022
06/04/2020,4093,15/12/2022
06/04/2021,18548,15/12/2022
06/04/2022,72158,15/12/2022
06/05/2020,1440,15/12/2022
06/05/2021,9533,15/12/2022
06/05/2022,41560,15/12/2022
06/06/2020,203,15/12/2022
06/06/2021,967,15/12/2022
06/06/2022,30878,15/12/2022
06/07/2020,237,15/12/2022
06/07/2021,1387,15/12/2022
06/07/2022,110491,15/12/2022
06/08/2020,400,15/12/2022
06/08/2021,7132,15/12/2022
06/08/2022,26830,15/12/2022
06/09/2020,562,15/12/2022
06/09/2021,5808,15/12/2022
06/09/2022,17252,15/12/2022
06/10/2020,4956,15/12/2022
06/10/2021,2917,15/12/2022
06/10/2022,44435,15/12/2022
06/11/2020,42032,15/12/2022
06/11/2021,5810,15/12/2022
06/11/2022,8807,15/12/2022
06/12/2020,6362,15/12/2022
06/12/2021,19965,15/12/2022
06/12/2022,32946,15/12/2022
07/01/2021,21605,15/12/2022
07/01/2022,244138,15/12/2022
07/02/2021,4834,15/12/2022
07/02/2022,111251,15/12/2022
07/03/2020,1498,15/12/2022
07/03/2021,8051,15/12/2022
07/03/2022,67589,15/12/2022
07/04/2020,4144,15/12/2022
07/04/2021,19272,15/12/2022
07/04/2022,66767,15/12/2022
07/05/2020,1389,15/12/2022
07/05/2021,9548,15/12/2022
07/05/2022,32398,15/12/2022
07/06/2020,84,15/12/2022
07/06/2021,2216,15/12/2022
07/06/2022,22922,15/12/2022
07/07/2020,226,15/12/2022
07/07/2021,1221,15/12/2022
07/07/2022,101222,15/12/2022
07/08/2020,499,15/12/2022
07/08/2021,5111,15/12/2022
07/08/2022,10987,15/12/2022
07/09/2020,1547,15/12/2022
07/09/2021,6006,15/12/2022
07/09/2022,17196,15/12/2022
07/10/2020,5486,15/12/2022
07/10/2021,2810,15/12/2022
07/10/2022,44610,15/12/2022
07/11/2020,30466,15/12/2022
07/11/2021,2686,15/12/2022
07/11/2022,41560,15/12/2022
07/12/2020,19575,15/12/2022
07/12/2021,20405,15/12/2022
07/12/2022,30781,15/12/2022
08/01/2021,21210,15/12/2022
08/01/2022,161931,15/12/2022
08/02/2021,13945,15/12/2022
08/02/2022,78835,15/12/2022
08/03/2020,1451,15/12/2022
08/03/2021,24021,15/12/2022
08/03/2022,50981,15/12/2022
08/04/2020,4794,15/12/2022
08/04/2021,17723,15/12/2022
08/04/2022,65582,15/12/2022
08/05/2020,1380,15/12/2022
08/05/2021,7424,15/12/2022
08/05/2022,15227,15/12/2022
08/06/2020,300,15/12/2022
08/06/2021,2155,15/12/2022
08/06/2022,23675,15/12/2022
08/07/2020,289,15/12/2022
08/07/2021,1399,15/12/2022
08/07/2022,102877,15/12/2022
08/08/2020,346,15/12/2022
08/08/2021,3021,15/12/2022
08/08/2022,45785,15/12/2022
08/09/2020,1613,15/12/2022
08/09/2021,5421,15/12/2022
08/09/2022,15350,15/12/2022
08/10/2020,6208,15/12/2022
08/10/2021,2697,15/12/2022
08/10/2022,34217,15/12/2022
08/11/2020,15678,15/12/2022
08/11/2021,8198,15/12/2022
08/11/2022,27335,15/12/2022
08/12/2020,7721,15/12/2022
08/12/2021,10187,15/12/2022
08/12/2022,9149,15/12/2022
09/01/2021,15631,15/12/2022
09/01/2022,75132,15/12/2022
09/02/2021,14681,15/12/2022
09/02/2022,73643,15/12/2022
09/03/2020,2239,15/12/2022
09/03/2021,26065,15/12/2022
09/03/2022,56404,15/12/2022
09/04/2020,4686,15/12/2022
09/04/2021,17338,15/12/2022
09/04/2022,54558,15/12/2022
09/05/2020,731,15/12/2022
09/05/2021,3609,15/12/2022
09/05/2022,60690,15/12/2022
09/06/2020,368,15/12/2022
09/06/2021,1851,15/12/2022
09/06/2022,22771,15/12/2022
09/07/2020,220,15/12/2022
09/07/2021,1499,15/12/2022
09/07/2022,82224,15/12/2022
09/08/2020,198,15/12/2022
09/08/2021,7056,15/12/2022
09/08/2022,30134,15/12/2022
09/09/2020,1635,15/12/2022
09/09/2021,4976,15/12/2022
09/09/2022,15747,15/12/2022
09/10/2020,7008,15/12/2022
09/10/2021,2113,15/12/2022
09/10/2022,14101,15/12/2022
09/11/2020,39375,15/12/2022
09/11/2021,8839,15/12/2022
09/11/2022,28207,15/12/2022
09/12/2020,20169,15/12/2022
09/12/2021,21601,15/12/2022
09/12/2022,34594,15/12/2022
10/01/2021,7004,15/12/2022
10/01/2022,253124,15/12/2022
10/02/2021,13936,15/12/2022
10/02/2022,63841,15/12/2022
10/03/2020,2457,15/12/2022
10/03/2021,25825,15/12/2022
10/03/2022,55910,15/12/2022
10/04/2020,5131,15/12/2022
10/04/2021,14068,15/12/2022
10/04/2022,23936,15/12/2022
10/05/2020,337,15/12/2022
