NOME_NUTS2,CASI_CUMULATIVI,iss_date
Abruzzo,650135,16/02/2023
Basilicata,206720,16/02/2023
Calabria,590007,16/02/2023
Campania,2441386,16/02/2023
Emilia-Romagna,2132133,16/02/2023
Friuli-Venezia Giulia,569400,16/02/2023
Lazio,2469063,16/02/2023
Liguria,660724,16/02/2023
Lombardia,4108128,16/02/2023
Marche,679206,16/02/2023
Molise,101730,16/02/2023
Piemonte,1714473,16/02/2023
Provincia Autonoma di Bolzano/Bozen,292851,16/02/2023
Provincia Autonoma di Trento,244487,16/02/2023
Puglia,1624002,16/02/2023
Sardegna,525570,16/02/2023
Sicilia,1886582,16/02/2023
Toscana,1687619,16/02/2023
Umbria,444466,16/02/2023
Valle d'Aosta/Vallée d'Aoste,50720,16/02/2023
Veneto,2677075,16/02/2023
