DATARICOVERO1,RICOVERI,iss_date
01/01/2021,1154,12/01/2023
01/01/2022,1278,12/01/2023
01/01/2023,346,12/01/2023
01/02/2021,1064,12/01/2023
01/02/2022,1364,12/01/2023
01/03/2020,440,12/01/2023
01/03/2021,1456,12/01/2023
01/03/2022,643,12/01/2023
01/04/2020,1528,12/01/2023
01/04/2021,1724,12/01/2023
01/04/2022,768,12/01/2023
01/05/2020,293,12/01/2023
01/05/2021,743,12/01/2023
01/05/2022,489,12/01/2023
01/06/2020,147,12/01/2023
01/06/2021,223,12/01/2023
01/06/2022,324,12/01/2023
01/07/2020,74,12/01/2023
01/07/2021,72,12/01/2023
01/07/2022,913,12/01/2023
01/08/2020,71,12/01/2023
01/08/2021,236,12/01/2023
01/08/2022,725,12/01/2023
01/09/2020,165,12/01/2023
01/09/2021,350,12/01/2023
01/09/2022,359,12/01/2023
01/10/2020,352,12/01/2023
01/10/2021,200,12/01/2023
01/10/2022,460,12/01/2023
01/11/2020,1930,12/01/2023
01/11/2021,225,12/01/2023
01/11/2022,387,12/01/2023
01/12/2020,1619,12/01/2023
01/12/2021,473,12/01/2023
01/12/2022,778,12/01/2023
02/01/2021,1417,12/01/2023
02/01/2022,1177,12/01/2023
02/01/2023,601,12/01/2023
02/02/2021,987,12/01/2023
02/02/2022,1397,12/01/2023
02/03/2020,669,12/01/2023
02/03/2021,1639,12/01/2023
02/03/2022,610,12/01/2023
02/04/2020,1478,12/01/2023
02/04/2021,1823,12/01/2023
02/04/2022,670,12/01/2023
02/05/2020,251,12/01/2023
02/05/2021,667,12/01/2023
02/05/2022,671,12/01/2023
02/06/2020,76,12/01/2023
02/06/2021,175,12/01/2023
02/06/2022,246,12/01/2023
02/07/2020,83,12/01/2023
02/07/2021,55,12/01/2023
02/07/2022,798,12/01/2023
02/08/2020,58,12/01/2023
02/08/2021,272,12/01/2023
02/08/2022,711,12/01/2023
02/09/2020,191,12/01/2023
02/09/2021,374,12/01/2023
02/09/2022,311,12/01/2023
02/10/2020,372,12/01/2023
02/10/2021,174,12/01/2023
02/10/2022,399,12/01/2023
02/11/2020,2443,12/01/2023
02/11/2021,292,12/01/2023
02/11/2022,533,12/01/2023
02/12/2020,1622,12/01/2023
02/12/2021,549,12/01/2023
02/12/2022,736,12/01/2023
03/01/2021,1217,12/01/2023
03/01/2022,1631,12/01/2023
03/01/2023,540,12/01/2023
03/02/2021,984,12/01/2023
03/02/2022,1272,12/01/2023
03/03/2020,816,12/01/2023
03/03/2021,1624,12/01/2023
03/03/2022,642,12/01/2023
03/04/2020,1285,12/01/2023
03/04/2021,1608,12/01/2023
03/04/2022,552,12/01/2023
03/05/2020,190,12/01/2023
03/05/2021,853,12/01/2023
03/05/2022,631,12/01/2023
03/06/2020,120,12/01/2023
03/06/2021,186,12/01/2023
03/06/2022,334,12/01/2023
03/07/2020,99,12/01/2023
03/07/2021,61,12/01/2023
03/07/2022,715,12/01/2023
03/08/2020,118,12/01/2023
03/08/2021,302,12/01/2023
03/08/2022,591,12/01/2023
03/09/2020,190,12/01/2023
03/09/2021,338,12/01/2023
03/09/2022,257,12/01/2023
03/10/2020,360,12/01/2023
03/10/2021,151,12/01/2023
03/10/2022,597,12/01/2023
03/11/2020,2492,12/01/2023
03/11/2021,290,12/01/2023
03/11/2022,563,12/01/2023
03/12/2020,1581,12/01/2023
03/12/2021,534,12/01/2023
03/12/2022,651,12/01/2023
04/01/2021,1434,12/01/2023
04/01/2022,1807,12/01/2023
04/01/2023,441,12/01/2023
04/02/2021,978,12/01/2023
04/02/2022,1216,12/01/2023
04/03/2020,913,12/01/2023
04/03/2021,1582,12/01/2023
04/03/2022,588,12/01/2023
04/04/2020,1039,12/01/2023
04/04/2021,1297,12/01/2023
04/04/2022,779,12/01/2023
04/05/2020,318,12/01/2023
04/05/2021,834,12/01/2023
04/05/2022,602,12/01/2023
04/06/2020,104,12/01/2023
04/06/2021,202,12/01/2023
04/06/2022,286,12/01/2023
04/07/2020,40,12/01/2023
04/07/2021,69,12/01/2023
04/07/2022,990,12/01/2023
04/08/2020,67,12/01/2023
04/08/2021,283,12/01/2023
04/08/2022,560,12/01/2023
04/09/2020,185,12/01/2023
04/09/2021,338,12/01/2023
04/09/2022,228,12/01/2023
04/10/2020,330,12/01/2023
04/10/2021,177,12/01/2023
04/10/2022,561,12/01/2023
04/11/2020,2626,12/01/2023
04/11/2021,329,12/01/2023
04/11/2022,539,12/01/2023
04/12/2020,1547,12/01/2023
04/12/2021,520,12/01/2023
04/12/2022,547,12/01/2023
05/01/2021,1465,12/01/2023
05/01/2022,1768,12/01/2023
05/01/2023,439,12/01/2023
05/02/2021,978,12/01/2023
05/02/2022,1034,12/01/2023
05/03/2020,1096,12/01/2023
05/03/2021,1705,12/01/2023
05/03/2022,512,12/01/2023
05/04/2020,848,12/01/2023
05/04/2021,1376,12/01/2023
05/04/2022,781,12/01/2023
05/05/2020,309,12/01/2023
05/05/2021,747,12/01/2023
05/05/2022,585,12/01/2023
05/06/2020,108,12/01/2023
05/06/2021,154,12/01/2023
05/06/2022,263,12/01/2023
05/07/2020,53,12/01/2023
05/07/2021,68,12/01/2023
05/07/2022,961,12/01/2023
05/08/2020,97,12/01/2023
05/08/2021,284,12/01/2023
05/08/2022,592,12/01/2023
05/09/2020,150,12/01/2023
05/09/2021,262,12/01/2023
05/09/2022,327,12/01/2023
05/10/2020,456,12/01/2023
05/10/2021,174,12/01/2023
05/10/2022,612,12/01/2023
05/11/2020,2632,12/01/2023
05/11/2021,309,12/01/2023
05/11/2022,514,12/01/2023
05/12/2020,1437,12/01/2023
05/12/2021,459,12/01/2023
05/12/2022,910,12/01/2023
06/01/2021,1221,12/01/2023
06/01/2022,1579,12/01/2023
06/01/2023,276,12/01/2023
06/02/2021,896,12/01/2023
06/02/2022,923,12/01/2023
06/03/2020,1224,12/01/2023
06/03/2021,1581,12/01/2023
