OBJECTID,DATA_TAMPONE,PROVINCIA,INCREMENTO,REGIONE
398,1582156800000,BERGAMO,1,LOMBARDIA
399,1582156800000,LODI,1,LOMBARDIA
10,1582243200000,BERGAMO,2,LOMBARDIA
400,1582243200000,PAVIA,1,LOMBARDIA
401,1582243200000,CREMONA,3,LOMBARDIA
402,1582243200000,MILANO,1,LOMBARDIA
403,1582243200000,LODI,26,LOMBARDIA
404,1582243200000,MONZA E DELLA BRIANZA,1,LOMBARDIA
7,1582329600000,MILANO,1,LOMBARDIA
8,1582329600000,MONZA E DELLA BRIANZA,1,LOMBARDIA
405,1582329600000,BERGAMO,4,LOMBARDIA
406,1582329600000,LODI,45,LOMBARDIA
407,1582329600000,CREMONA,11,LOMBARDIA
408,1582329600000,IGNOTA,1,LOMBARDIA
409,1582329600000,PAVIA,2,LOMBARDIA
410,1582416000000,BERGAMO,6,LOMBARDIA
411,1582416000000,MILANO,2,LOMBARDIA
412,1582416000000,SONDRIO,1,LOMBARDIA
413,1582416000000,MONZA E DELLA BRIANZA,3,LOMBARDIA
414,1582416000000,PAVIA,10,LOMBARDIA
415,1582416000000,LODI,58,LOMBARDIA
416,1582416000000,CREMONA,29,LOMBARDIA
417,1582416000000,IGNOTA,2,LOMBARDIA
418,1582416000000,BRESCIA,1,LOMBARDIA
13,1582502400000,IGNOTA,2,LOMBARDIA
17,1582502400000,SONDRIO,1,LOMBARDIA
419,1582502400000,MANTOVA,1,LOMBARDIA
420,1582502400000,BRESCIA,2,LOMBARDIA
421,1582502400000,LODI,68,LOMBARDIA
422,1582502400000,LECCO,1,LOMBARDIA
423,1582502400000,MONZA E DELLA BRIANZA,4,LOMBARDIA
424,1582502400000,MILANO,8,LOMBARDIA
425,1582502400000,CREMONA,54,LOMBARDIA
426,1582502400000,BERGAMO,16,LOMBARDIA
427,1582502400000,PAVIA,15,LOMBARDIA
1,1582588800000,MANTOVA,1,LOMBARDIA
9,1582588800000,MONZA E DELLA BRIANZA,4,LOMBARDIA
428,1582588800000,LECCO,2,LOMBARDIA
429,1582588800000,VARESE,2,LOMBARDIA
430,1582588800000,IGNOTA,3,LOMBARDIA
431,1582588800000,BRESCIA,8,LOMBARDIA
432,1582588800000,CREMONA,76,LOMBARDIA
433,1582588800000,BERGAMO,38,LOMBARDIA
434,1582588800000,SONDRIO,3,LOMBARDIA
435,1582588800000,PAVIA,20,LOMBARDIA
436,1582588800000,COMO,2,LOMBARDIA
437,1582588800000,LODI,94,LOMBARDIA
438,1582588800000,MILANO,15,LOMBARDIA
2,1582675200000,MANTOVA,1,LOMBARDIA
11,1582675200000,COMO,2,LOMBARDIA
15,1582675200000,LECCO,2,LOMBARDIA
18,1582675200000,SONDRIO,3,LOMBARDIA
439,1582675200000,MILANO,22,LOMBARDIA
440,1582675200000,BRESCIA,19,LOMBARDIA
441,1582675200000,CREMONA,102,LOMBARDIA
442,1582675200000,PAVIA,36,LOMBARDIA
443,1582675200000,LODI,111,LOMBARDIA
444,1582675200000,VARESE,3,LOMBARDIA
445,1582675200000,BERGAMO,73,LOMBARDIA
446,1582675200000,MONZA E DELLA BRIANZA,5,LOMBARDIA
447,1582675200000,IGNOTA,5,LOMBARDIA
3,1582761600000,MANTOVA,1,LOMBARDIA
19,1582761600000,SONDRIO,3,LOMBARDIA
448,1582761600000,LODI,143,LOMBARDIA
449,1582761600000,MONZA E DELLA BRIANZA,6,LOMBARDIA
450,1582761600000,VARESE,4,LOMBARDIA
451,1582761600000,PAVIA,53,LOMBARDIA
452,1582761600000,COMO,3,LOMBARDIA
453,1582761600000,LECCO,3,LOMBARDIA
454,1582761600000,MILANO,33,LOMBARDIA
455,1582761600000,BERGAMO,114,LOMBARDIA
456,1582761600000,BRESCIA,30,LOMBARDIA
