X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
9.34161357,45.55132748,"210","3015051",CARUGATE,MILANO,MI,LOMBARDIA,9.34161357,45.55132748,"210","1582675200000","2","0","1"
9.34161357,45.55132748,"210","3015051",CARUGATE,MILANO,MI,LOMBARDIA,9.34161357,45.55132748,"210","1582934400000","0","1","2"
9.34161357,45.55132748,"210","3015051",CARUGATE,MILANO,MI,LOMBARDIA,9.34161357,45.55132748,"210","1583193600000","1","0","3"
9.34161357,45.55132748,"210","3015051",CARUGATE,MILANO,MI,LOMBARDIA,9.34161357,45.55132748,"210","1583280000000","1","0","4"
9.34161357,45.55132748,"210","3015051",CARUGATE,MILANO,MI,LOMBARDIA,9.34161357,45.55132748,"210","1583366400000","2","1","5"
9.34161357,45.55132748,"210","3015051",CARUGATE,MILANO,MI,LOMBARDIA,9.34161357,45.55132748,"210","1583971200000","2","0","6"
9.10181889,45.31436013,"958","3015055",CASARILE,MILANO,MI,LOMBARDIA,9.10181889,45.31436013,"958","1583366400000","1","0","7"
9.10181889,45.31436013,"958","3015055",CASARILE,MILANO,MI,LOMBARDIA,9.10181889,45.31436013,"958","1583539200000","1","0","8"
9.10181889,45.31436013,"958","3015055",CASARILE,MILANO,MI,LOMBARDIA,9.10181889,45.31436013,"958","1583625600000","1","0","9"
8.90760239,45.52614401,"712","3015058",CASOREZZO,MILANO,MI,LOMBARDIA,8.90760239,45.52614401,"712","1583798400000","2","0","10"
8.90760239,45.52614401,"712","3015058",CASOREZZO,MILANO,MI,LOMBARDIA,8.90760239,45.52614401,"712","1583884800000","1","0","11"
9.5176447,45.52659762,"420","3015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,9.5176447,45.52659762,"420","1582588800000","3","0","12"
9.5176447,45.52659762,"420","3015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,9.5176447,45.52659762,"420","1583193600000","1","0","13"
9.5176447,45.52659762,"420","3015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,9.5176447,45.52659762,"420","1583366400000","2","0","14"
9.5176447,45.52659762,"420","3015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,9.5176447,45.52659762,"420","1583452800000","1","0","15"
9.5176447,45.52659762,"420","3015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,9.5176447,45.52659762,"420","1583625600000","1","0","16"
9.5176447,45.52659762,"420","3015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,9.5176447,45.52659762,"420","1583712000000","1","0","17"
9.5176447,45.52659762,"420","3015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,9.5176447,45.52659762,"420","1583971200000","2","0","18"
8.90734389,45.42596674,"491","3015061",CASSINETTA DI LUGAGNANO,MILANO,MI,LOMBARDIA,8.90734389,45.42596674,"491","1583712000000","1","0","19"
8.76641585,45.55032584,"1213","3015062",CASTANO PRIMO,MILANO,MI,LOMBARDIA,8.76641585,45.55032584,"1213","1583107200000","1","0","20"
8.76641585,45.55032584,"1213","3015062",CASTANO PRIMO,MILANO,MI,LOMBARDIA,8.76641585,45.55032584,"1213","1583193600000","2","0","21"
8.76641585,45.55032584,"1213","3015062",CASTANO PRIMO,MILANO,MI,LOMBARDIA,8.76641585,45.55032584,"1213","1583280000000","1","0","22"
8.76641585,45.55032584,"1213","3015062",CASTANO PRIMO,MILANO,MI,LOMBARDIA,8.76641585,45.55032584,"1213","1583452800000","1","0","23"
8.76641585,45.55032584,"1213","3015062",CASTANO PRIMO,MILANO,MI,LOMBARDIA,8.76641585,45.55032584,"1213","1583625600000","1","0","24"
8.76641585,45.55032584,"1213","3015062",CASTANO PRIMO,MILANO,MI,LOMBARDIA,8.76641585,45.55032584,"1213","1583712000000","1","0","25"
9.33235605,45.52608207,"801","3015070",CERNUSCO SUL NAVIGLIO,MILANO,MI,LOMBARDIA,9.33235605,45.52608207,"801","1582675200000","1","0","26"
9.33235605,45.52608207,"801","3015070",CERNUSCO SUL NAVIGLIO,MILANO,MI,LOMBARDIA,9.33235605,45.52608207,"801","1583193600000","1","0","27"
9.33235605,45.52608207,"801","3015070",CERNUSCO SUL NAVIGLIO,MILANO,MI,LOMBARDIA,9.33235605,45.52608207,"801","1583280000000","2","0","28"
9.33235605,45.52608207,"801","3015070",CERNUSCO SUL NAVIGLIO,MILANO,MI,LOMBARDIA,9.33235605,45.52608207,"801","1583366400000","1","0","29"
9.33235605,45.52608207,"801","3015070",CERNUSCO SUL NAVIGLIO,MILANO,MI,LOMBARDIA,9.33235605,45.52608207,"801","1583712000000","1","0","30"
9.33235605,45.52608207,"801","3015070",CERNUSCO SUL NAVIGLIO,MILANO,MI,LOMBARDIA,9.33235605,45.52608207,"801","1583971200000","6","0","31"
8.96514868,45.5895644,"383","3015072",CERRO MAGGIORE,MILANO,MI,LOMBARDIA,8.96514868,45.5895644,"383","1583712000000","2","0","32"
8.96514868,45.5895644,"383","3015072",CERRO MAGGIORE,MILANO,MI,LOMBARDIA,8.96514868,45.5895644,"383","1583884800000","2","0","33"
9.08697661,45.44131742,"21","3015074",CESANO BOSCONE,MILANO,MI,LOMBARDIA,9.08697661,45.44131742,"21","1583452800000","1","0","34"
9.08697661,45.44131742,"21","3015074",CESANO BOSCONE,MILANO,MI,LOMBARDIA,9.08697661,45.44131742,"21","1583539200000","1","0","35"
9.08697661,45.44131742,"21","3015074",CESANO BOSCONE,MILANO,MI,LOMBARDIA,9.08697661,45.44131742,"21","1583625600000","1","0","36"
9.08697661,45.44131742,"21","3015074",CESANO BOSCONE,MILANO,MI,LOMBARDIA,9.08697661,45.44131742,"21","1583712000000","1","0","37"
9.08697661,45.44131742,"21","3015074",CESANO BOSCONE,MILANO,MI,LOMBARDIA,9.08697661,45.44131742,"21","1583884800000","1","0","38"
9.08697661,45.44131742,"21","3015074",CESANO BOSCONE,MILANO,MI,LOMBARDIA,9.08697661,45.44131742,"21","1583971200000","1","0","39"
9.0797419,45.59725249,"57","3015076",CESATE,MILANO,MI,LOMBARDIA,9.0797419,45.59725249,"57","1583280000000","2","0","40"
9.0797419,45.59725249,"57","3015076",CESATE,MILANO,MI,LOMBARDIA,9.0797419,45.59725249,"57","1583452800000","1","1","41"
9.0797419,45.59725249,"57","3015076",CESATE,MILANO,MI,LOMBARDIA,9.0797419,45.59725249,"57","1583798400000","1","0","42"
9.0797419,45.59725249,"57","3015076",CESATE,MILANO,MI,LOMBARDIA,9.0797419,45.59725249,"57","1583884800000","1","0","43"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1582761600000","0","1","44"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583193600000","2","0","45"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583366400000","1","0","46"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583452800000","1","0","47"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583625600000","1","0","48"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583712000000","3","0","49"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583798400000","3","0","50"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583884800000","4","0","51"
9.21807915,45.55738614,"883","3015077",CINISELLO BALSAMO,MILANO,MI,LOMBARDIA,9.21807915,45.55738614,"883","1583971200000","1","0","52"
9.28019315,45.53336234,"1420","3015081",COLOGNO MONZESE,MILANO,MI,LOMBARDIA,9.28019315,45.53336234,"1420","1583020800000","2","0","53"
9.28019315,45.53336234,"1420","3015081",COLOGNO MONZESE,MILANO,MI,LOMBARDIA,9.28019315,45.53336234,"1420","1583107200000","0","1","54"
9.28019315,45.53336234,"1420","3015081",COLOGNO MONZESE,MILANO,MI,LOMBARDIA,9.28019315,45.53336234,"1420","1583193600000","3","0","55"
9.28019315,45.53336234,"1420","3015081",COLOGNO MONZESE,MILANO,MI,LOMBARDIA,9.28019315,45.53336234,"1420","1583539200000","1","0","56"
9.28019315,45.53336234,"1420","3015081",COLOGNO MONZESE,MILANO,MI,LOMBARDIA,9.28019315,45.53336234,"1420","1583625600000","1","0","57"
9.28019315,45.53336234,"1420","3015081",COLOGNO MONZESE,MILANO,MI,LOMBARDIA,9.28019315,45.53336234,"1420","1583884800000","2","0","58"
9.28019315,45.53336234,"1420","3015081",COLOGNO MONZESE,MILANO,MI,LOMBARDIA,9.28019315,45.53336234,"1420","1583971200000","2","1","59"
9.33952037,45.38017577,"169","3015082",COLTURANO,MILANO,MI,LOMBARDIA,9.33952037,45.38017577,"169","1583020800000","0","1","60"
9.33952037,45.38017577,"169","3015082",COLTURANO,MILANO,MI,LOMBARDIA,9.33952037,45.38017577,"169","1583280000000","1","0","61"
8.93026535,45.46005901,"501","3015085",CORBETTA,MILANO,MI,LOMBARDIA,8.93026535,45.46005901,"501","1583539200000","2","0","62"
8.93026535,45.46005901,"501","3015085",CORBETTA,MILANO,MI,LOMBARDIA,8.93026535,45.46005901,"501","1583712000000","6","0","63"
8.93026535,45.46005901,"501","3015085",CORBETTA,MILANO,MI,LOMBARDIA,8.93026535,45.46005901,"501","1583798400000","1","0","64"
