DATA_INIZIO_SINTOMI,CASI_TOTALI,NESSUNO_STATO_CLINICO,SOLO_ST_GUARITO,SOLO_ST_DECEDUTO,SOLO_ST_ASINTOMATICO,SOLO_ST_LIEVE_PAU_SEVERO_GRAVE,CON_ST_LIEVE_PAU_SEVERO_GRAVE_GUARITO,CON_ST_LIEVE_PAU_SEVERO_GRAVE_DECEDUTO,CON_ST_ASINTOMATICO_GUARITO,CON_ST_ASINTOMATICO_DECEDUTO,date
,189200,30366,18858,221,16747,2449,1540,470,117611,938,
21/02/2020,220,,9,1,,,157,53,,,2020-02-21
22/02/2020,264,,12,2,,7,196,47,,,2020-02-22
23/02/2020,343,1,11,4,,4,242,81,,,2020-02-23
24/02/2020,439,1,29,2,,7,294,106,,,2020-02-24
25/02/2020,533,3,22,2,,6,371,129,,,2020-02-25
26/02/2020,473,,22,,,6,324,121,,,2020-02-26
27/02/2020,563,1,31,12,,6,377,136,,,2020-02-27
28/02/2020,760,3,36,7,,8,533,173,,,2020-02-28
29/02/2020,689,5,42,6,,6,440,190,,,2020-02-29
01/03/2020,1588,5,105,11,,9,1049,409,,,2020-03-01
02/03/2020,1182,4,74,8,,11,795,290,,,2020-03-02
03/03/2020,1359,18,120,9,,4,858,350,,,2020-03-03
04/03/2020,1105,10,89,12,,11,738,245,,,2020-03-04
05/03/2020,1495,23,128,10,,8,980,346,,,2020-03-05
06/03/2020,1621,10,145,30,,11,1065,360,,,2020-03-06
07/03/2020,1592,9,102,14,,14,1096,357,,,2020-03-07
08/03/2020,1782,16,119,11,,20,1231,385,,,2020-03-08
09/03/2020,2163,13,222,24,,28,1453,423,,,2020-03-09
10/03/2020,3114,21,274,30,,36,2049,704,,,2020-03-10
11/03/2020,1872,6,164,20,,19,1264,399,,,2020-03-11
12/03/2020,2120,6,191,21,,20,1427,455,,,2020-03-12
13/03/2020,2274,11,202,34,,26,1549,452,,,2020-03-13
14/03/2020,2027,13,238,20,,13,1308,435,,,2020-03-14
15/03/2020,2591,28,202,44,,16,1786,515,,,2020-03-15
16/03/2020,2256,7,217,37,,23,1569,403,,,2020-03-16
17/03/2020,1810,4,160,27,,12,1250,357,,,2020-03-17
18/03/2020,1856,7,204,24,,14,1236,371,,,2020-03-18
19/03/2020,1672,7,186,31,,26,1098,324,,,2020-03-19
20/03/2020,2637,8,278,43,,22,1734,552,,,2020-03-20
21/03/2020,1427,5,157,35,,8,941,281,,,2020-03-21
22/03/2020,1436,8,130,24,,11,972,291,,,2020-03-22
23/03/2020,1798,7,202,30,,16,1217,326,,,2020-03-23
24/03/2020,1386,5,213,24,,15,874,255,,,2020-03-24
25/03/2020,1644,9,224,31,,15,1070,295,,,2020-03-25
26/03/2020,1307,19,204,31,,17,844,192,,,2020-03-26
27/03/2020,1401,5,229,31,,15,906,215,,,2020-03-27
28/03/2020,1214,4,170,35,,14,787,204,,,2020-03-28
29/03/2020,846,1,89,18,,11,565,162,,,2020-03-29
30/03/2020,1542,11,271,35,,17,989,219,,,2020-03-30
31/03/2020,1030,2,175,23,,3,679,148,,,2020-03-31
01/04/2020,1831,11,375,69,,12,1085,279,,,2020-04-01
02/04/2020,1082,5,241,46,,13,635,142,,,2020-04-02
03/04/2020,1155,1,197,49,,6,736,166,,,2020-04-03
04/04/2020,903,2,225,35,,2,519,120,,,2020-04-04
05/04/2020,785,8,150,24,,10,476,117,,,2020-04-05
06/04/2020,993,4,252,46,,8,583,100,,,2020-04-06
07/04/2020,1019,4,272,52,,17,508,166,,,2020-04-07
08/04/2020,872,6,185,29,,8,525,119,,,2020-04-08
09/04/2020,908,1,225,48,,7,485,142,,,2020-04-09
10/04/2020,1299,5,320,45,,10,710,209,,,2020-04-10
11/04/2020,650,,171,31,,3,348,97,,,2020-04-11
12/04/2020,628,,90,12,,6,403,117,,,2020-04-12
13/04/2020,505,3,89,22,,4,311,76,,,2020-04-13
14/04/2020,737,1,186,27,,13,419,91,,,2020-04-14
15/04/2020,1013,4,314,42,,9,553,91,,,2020-04-15
16/04/2020,683,4,217,17,,9,357,79,,,2020-04-16
17/04/2020,743,4,232,27,,7,388,85,,,2020-04-17
18/04/2020,429,1,120,18,,3,234,53,,,2020-04-18
19/04/2020,363,3,101,20,,6,187,46,,,2020-04-19
20/04/2020,824,5,250,18,,8,447,96,,,2020-04-20
21/04/2020,427,1,147,20,,3,218,38,,,2020-04-21
22/04/2020,511,1,161,10,,4,285,50,,,2020-04-22
23/04/2020,600,,254,20,,11,262,53,,,2020-04-23
24/04/2020,539,2,245,14,,5,224,49,,,2020-04-24
25/04/2020,351,1,126,15,,5,165,39,,,2020-04-25
26/04/2020,257,1,69,13,,,151,23,,,2020-04-26
27/04/2020,503,2,191,10,,2,261,37,,,2020-04-27
28/04/2020,419,1,191,7,,3,185,32,,,2020-04-28
29/04/2020,491,4,287,6,,7,167,20,,,2020-04-29
30/04/2020,509,,268,20,,5,185,31,,,2020-04-30
01/05/2020,335,1,129,3,,2,174,26,,,2020-05-01
02/05/2020,216,1,85,5,,1,107,17,,,2020-05-02
03/05/2020,198,1,76,1,,4,100,16,,,2020-05-03
04/05/2020,380,3,189,7,,4,156,21,,,2020-05-04
05/05/2020,335,2,148,7,,3,153,22,,,2020-05-05
06/05/2020,324,3,157,10,,6,136,12,,,2020-05-06
07/05/2020,276,,116,10,,3,136,11,,,2020-05-07
08/05/2020,273,5,100,2,,5,151,10,,,2020-05-08
09/05/2020,150,,70,3,,2,67,8,,,2020-05-09
10/05/2020,167,2,63,,,3,86,13,,,2020-05-10
11/05/2020,271,1,106,2,,5,140,17,,,2020-05-11
12/05/2020,262,1,113,5,,5,123,15,,,2020-05-12
13/05/2020,230,3,89,4,,1,122,11,,,2020-05-13
14/05/2020,187,,82,1,,5,94,5,,,2020-05-14
15/05/2020,210,1,56,2,,8,140,3,,,2020-05-15
16/05/2020,127,1,44,2,,4,71,5,,,2020-05-16
17/05/2020,94,1,29,1,,,57,6,,,2020-05-17
18/05/2020,178,1,45,1,,3,123,5,,,2020-05-18
19/05/2020,154,,44,1,,6,98,5,,,2020-05-19
20/05/2020,176,1,57,1,,2,110,5,,,2020-05-20
21/05/2020,156,1,55,1,,4,92,3,,,2020-05-21
22/05/2020,123,1,33,1,,1,77,10,,,2020-05-22
23/05/2020,82,,17,,,1,59,5,,,2020-05-23
24/05/2020,63,,13,,,2,43,5,,,2020-05-24
25/05/2020,170,2,44,,,4,109,11,,,2020-05-25
26/05/2020,130,,31,2,,2,92,3,,,2020-05-26
27/05/2020,147,1,47,1,,3,90,5,,,2020-05-27
28/05/2020,129,,47,,,2,74,6,,,2020-05-28
29/05/2020,94,2,22,2,,,65,3,,,2020-05-29
30/05/2020,89,,25,,,,61,3,,,2020-05-30
31/05/2020,38,1,4,,,4,27,2,,,2020-05-31
01/06/2020,127,1,34,,,2,84,6,,,2020-06-01
02/06/2020,39,1,8,,,1,27,2,,,2020-06-02
03/06/2020,96,,21,,,3,68,4,,,2020-06-03
04/06/2020,87,,34,,,4,44,5,,,2020-06-04
05/06/2020,120,,44,,,2,72,2,,,2020-06-05
06/06/2020,66,,19,,,1,44,2,,,2020-06-06
07/06/2020,43,,7,,,2,32,2,,,2020-06-07
08/06/2020,99,,17,,,2,75,5,,,2020-06-08
09/06/2020,88,1,22,,,1,63,1,,,2020-06-09
10/06/2020,82,,14,,,,65,3,,,2020-06-10
11/06/2020,81,,21,1,,3,51,5,,,2020-06-11
12/06/2020,87,,20,,,2,64,1,,,2020-06-12
13/06/2020,56,,7,,,2,44,3,,,2020-06-13
14/06/2020,49,,8,1,,,38,2,,,2020-06-14
15/06/2020,85,,17,,,2,60,6,,,2020-06-15
16/06/2020,77,,14,,,2,58,3,,,2020-06-16
17/06/2020,67,,16,1,,2,45,3,,,2020-06-17
18/06/2020,60,,16,,,3,38,3,,,2020-06-18
19/06/2020,55,1,16,,,2,35,1,,,2020-06-19
20/06/2020,33,,4,1,,1,25,2,,,2020-06-20
21/06/2020,38,,6,,,1,30,1,,,2020-06-21
22/06/2020,54,1,8,,,1,41,3,,,2020-06-22
23/06/2020,44,,6,,,,36,2,,,2020-06-23
24/06/2020,61,1,7,,,3,49,1,,,2020-06-24
25/06/2020,52,,15,,,,34,3,,,2020-06-25
26/06/2020,64,,19,,,,42,3,,,2020-06-26
27/06/2020,47,1,13,,,2,31,,,,2020-06-27
28/06/2020,34,2,4,,,1,26,1,,,2020-06-28
29/06/2020,67,,13,2,,5,45,2,,,2020-06-29
30/06/2020,37,,5,,,,28,4,,,2020-06-30
01/07/2020,71,,11,1,,1,52,6,,,2020-07-01
02/07/2020,55,,12,,,,43,,,,2020-07-02
03/07/2020,50,,9,,,2,37,2,,,2020-07-03
04/07/2020,43,1,13,,,1,28,,,,2020-07-04
05/07/2020,34,,7,,,2,24,1,,,2020-07-05
06/07/2020,57,,8,,,,48,1,,,2020-07-06
07/07/2020,57,1,7,1,,3,44,1,,,2020-07-07
08/07/2020,46,,4,,,,40,2,,,2020-07-08
09/07/2020,41,1,4,,,1,31,4,,,2020-07-09
10/07/2020,65,,10,,,2,49,4,,,2020-07-10
11/07/2020,35,1,2,,,2,28,2,,,2020-07-11
12/07/2020,32,1,5,,,,26,,,,2020-07-12
13/07/2020,48,,7,,,,40,1,,,2020-07-13
14/07/2020,45,,7,,,,38,,,,2020-07-14
15/07/2020,46,1,3,,,,38,4,,,2020-07-15
16/07/2020,42,1,7,,,2,28,4,,,2020-07-16
17/07/2020,32,,3,,,,29,,,,2020-07-17
18/07/2020,37,1,5,,,,29,2,,,2020-07-18
19/07/2020,29,1,3,,,4,16,5,,,2020-07-19
20/07/2020,48,1,8,,,,38,1,,,2020-07-20
21/07/2020,38,2,7,,,2,27,,,,2020-07-21
22/07/2020,46,1,5,,,2,35,3,,,2020-07-22
23/07/2020,46,1,10,,,2,33,,,,2020-07-23
24/07/2020,28,,5,,,1,21,1,,,2020-07-24
25/07/2020,32,,4,,,2,26,,,,2020-07-25
26/07/2020,35,1,2,,,2,27,3,,,2020-07-26
27/07/2020,46,2,6,,,1,37,,,,2020-07-27
28/07/2020,58,,7,1,,3,44,3,,,2020-07-28
29/07/2020,58,1,7,,,1,46,3,,,2020-07-29
30/07/2020,33,,6,1,,,25,1,,,2020-07-30
31/07/2020,36,,8,,,,28,,,,2020-07-31
01/08/2020,37,,3,1,,5,24,4,,,2020-08-01
02/08/2020,39,1,5,,,1,32,,,,2020-08-02
03/08/2020,80,,14,,,4,62,,,,2020-08-03
04/08/2020,70,,10,,,6,53,1,,,2020-08-04
05/08/2020,61,,9,,,4,44,4,,,2020-08-05
06/08/2020,64,,3,,,4,56,1,,,2020-08-06
07/08/2020,68,,19,,,,49,,,,2020-08-07
08/08/2020,71,1,8,1,,3,56,2,,,2020-08-08
09/08/2020,47,,4,,,1,41,1,,,2020-08-09
10/08/2020,94,2,20,,,,70,2,,,2020-08-10
11/08/2020,65,,9,,,1,52,3,,,2020-08-11
12/08/2020,69,1,8,,,,60,,,,2020-08-12
13/08/2020,94,1,22,,,3,67,1,,,2020-08-13
14/08/2020,72,,6,,,5,60,1,,,2020-08-14
15/08/2020,96,1,10,,,5,80,,,,2020-08-15
16/08/2020,96,1,14,1,,2,76,2,,,2020-08-16
17/08/2020,132,1,10,,,6,113,2,,,2020-08-17
18/08/2020,136,1,15,1,,7,111,1,,,2020-08-18
19/08/2020,145,2,18,1,,9,114,1,,,2020-08-19
20/08/2020,157,4,25,,,8,120,,,,2020-08-20
21/08/2020,177,1,26,,,7,140,3,,,2020-08-21
22/08/2020,175,1,22,,,4,146,2,,,2020-08-22
23/08/2020,168,4,17,,,8,135,4,,,2020-08-23
24/08/2020,221,2,31,,,6,173,9,,,2020-08-24
25/08/2020,215,2,29,,,4,174,6,,,2020-08-25
26/08/2020,198,2,38,,,3,155,,,,2020-08-26
27/08/2020,161,1,32,,,3,123,2,,,2020-08-27
28/08/2020,166,5,41,,,6,111,3,,,2020-08-28
29/08/2020,115,1,13,,,7,93,1,,,2020-08-29
30/08/2020,132,1,19,1,,5,106,,,,2020-08-30
31/08/2020,169,2,34,1,,4,126,2,,,2020-08-31
01/09/2020,206,3,33,,,5,159,6,,,2020-09-01
02/09/2020,156,2,35,,,5,114,,,,2020-09-02
03/09/2020,163,1,20,,,6,134,2,,,2020-09-03
04/09/2020,162,2,24,,,5,129,2,,,2020-09-04
05/09/2020,138,1,16,,,1,118,2,,,2020-09-05
06/09/2020,122,1,20,,,1,100,,,,2020-09-06
07/09/2020,195,3,30,,,6,151,5,,,2020-09-07
08/09/2020,188,5,44,,,1,137,1,,,2020-09-08
09/09/2020,153,2,20,,,7,122,2,,,2020-09-09
10/09/2020,176,1,36,1,,3,133,2,,,2020-09-10
11/09/2020,172,,35,,,7,128,2,,,2020-09-11
12/09/2020,132,1,17,,,2,110,2,,,2020-09-12
13/09/2020,139,,16,,,4,116,3,,,2020-09-13
14/09/2020,224,2,40,,,11,168,3,,,2020-09-14
15/09/2020,245,3,41,,,11,187,3,,,2020-09-15
16/09/2020,196,,36,,,4,154,2,,,2020-09-16
17/09/2020,220,,43,,,7,169,1,,,2020-09-17
18/09/2020,207,1,45,1,,10,150,,,,2020-09-18
19/09/2020,190,1,29,,,7,148,5,,,2020-09-19
20/09/2020,191,2,28,1,,3,156,1,,,2020-09-20
21/09/2020,239,1,54,,,9,174,1,,,2020-09-21
22/09/2020,236,4,50,,,8,174,,,,2020-09-22
23/09/2020,242,2,48,,,4,188,,,,2020-09-23
24/09/2020,216,1,53,,,6,152,4,,,2020-09-24
25/09/2020,239,,43,,,3,189,4,,,2020-09-25
26/09/2020,213,2,50,1,,4,153,3,,,2020-09-26
27/09/2020,243,2,50,,,7,181,3,,,2020-09-27
28/09/2020,359,3,71,,,9,271,5,,,2020-09-28
29/09/2020,313,4,70,,,9,225,5,,,2020-09-29
30/09/2020,398,3,87,,,6,294,8,,,2020-09-30
01/10/2020,647,3,168,,,11,454,11,,,2020-10-01
02/10/2020,634,11,168,,,9,432,14,,,2020-10-02
03/10/2020,635,6,134,1,,18,461,15,,,2020-10-03
04/10/2020,613,2,112,1,,13,474,11,,,2020-10-04
05/10/2020,964,10,258,,,13,662,21,,,2020-10-05
06/10/2020,935,10,272,4,,15,615,19,,,2020-10-06
07/10/2020,1093,8,310,,,17,730,28,,,2020-10-07
08/10/2020,1301,12,368,1,,17,868,35,,,2020-10-08
