CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,124,58,2021-05-28T15:45:12+0000
012002,ALBIZZATE,VARESE,2088,953,2021-05-28T15:45:12+0000
012003,ANGERA,VARESE,2184,1002,2021-05-28T15:45:12+0000
012004,ARCISATE,VARESE,3824,1704,2021-05-28T15:45:12+0000
012005,ARSAGO SEPRIO,VARESE,1619,769,2021-05-28T15:45:12+0000
012006,AZZATE,VARESE,1760,832,2021-05-28T15:45:12+0000
012007,AZZIO,VARESE,282,112,2021-05-28T15:45:12+0000
012008,BARASSO,VARESE,758,404,2021-05-28T15:45:12+0000
012009,BARDELLO,VARESE,611,279,2021-05-28T15:45:12+0000
012010,BEDERO VALCUVIA,VARESE,241,97,2021-05-28T15:45:12+0000
012011,BESANO,VARESE,933,463,2021-05-28T15:45:12+0000
012012,BESNATE,VARESE,2096,989,2021-05-28T15:45:12+0000
012013,BESOZZO,VARESE,3362,1518,2021-05-28T15:45:12+0000
012014,BIANDRONNO,VARESE,1283,571,2021-05-28T15:45:12+0000
012015,BISUSCHIO,VARESE,1567,673,2021-05-28T15:45:12+0000
012016,BODIO LOMNAGO,VARESE,1040,525,2021-05-28T15:45:12+0000
012017,BREBBIA,VARESE,1255,573,2021-05-28T15:45:12+0000
012018,BREGANO,VARESE,316,141,2021-05-28T15:45:12+0000
012019,BRENTA,VARESE,669,262,2021-05-28T15:45:12+0000
012020,BREZZO DI BEDERO,VARESE,398,150,2021-05-28T15:45:12+0000
012021,BRINZIO,VARESE,376,146,2021-05-28T15:45:12+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,422,165,2021-05-28T15:45:12+0000
012023,BRUNELLO,VARESE,382,158,2021-05-28T15:45:12+0000
012024,BRUSIMPIANO,VARESE,355,146,2021-05-28T15:45:12+0000
012025,BUGUGGIATE,VARESE,1314,638,2021-05-28T15:45:12+0000
012026,BUSTO ARSIZIO,VARESE,31068,15675,2021-05-28T15:45:12+0000
012027,CADEGLIANO-VICONAGO,VARESE,729,412,2021-05-28T15:45:12+0000
012029,CAIRATE,VARESE,2778,1316,2021-05-28T15:45:12+0000
012030,CANTELLO,VARESE,1801,889,2021-05-28T15:45:12+0000
012031,CARAVATE,VARESE,926,393,2021-05-28T15:45:12+0000
012032,CARDANO AL CAMPO,VARESE,5099,2466,2021-05-28T15:45:12+0000
012033,CARNAGO,VARESE,2411,1126,2021-05-28T15:45:12+0000
012034,CARONNO PERTUSELLA,VARESE,5795,2432,2021-05-28T15:45:12+0000
012035,CARONNO VARESINO,VARESE,1776,795,2021-05-28T15:45:12+0000
012036,CASALE LITTA,VARESE,963,419,2021-05-28T15:45:12+0000
012037,CASALZUIGNO,VARESE,522,241,2021-05-28T15:45:12+0000
012038,CASCIAGO,VARESE,1610,769,2021-05-28T15:45:12+0000
012039,CASORATE SEMPIONE,VARESE,2022,968,2021-05-28T15:45:12+0000
012040,CASSANO MAGNAGO,VARESE,7924,3781,2021-05-28T15:45:12+0000
012041,CASSANO VALCUVIA,VARESE,214,86,2021-05-28T15:45:12+0000
012042,CASTELLANZA,VARESE,5759,2896,2021-05-28T15:45:12+0000
012043,CASTELLO CABIAGLIO,VARESE,216,87,2021-05-28T15:45:12+0000
012044,CASTELSEPRIO,VARESE,539,262,2021-05-28T15:45:12+0000
012045,CASTELVECCANA,VARESE,745,348,2021-05-28T15:45:12+0000
012046,CASTIGLIONE OLONA,VARESE,2989,1344,2021-05-28T15:45:12+0000
012047,CASTRONNO,VARESE,1967,925,2021-05-28T15:45:12+0000
012048,CAVARIA CON PREMEZZO,VARESE,1958,907,2021-05-28T15:45:12+0000
012049,CAZZAGO BRABBIA,VARESE,284,142,2021-05-28T15:45:12+0000
012050,CISLAGO,VARESE,3725,1542,2021-05-28T15:45:12+0000
012051,CITTIGLIO,VARESE,1498,645,2021-05-28T15:45:12+0000
012052,CLIVIO,VARESE,726,316,2021-05-28T15:45:12+0000
012053,COCQUIO-TREVISAGO,VARESE,1890,864,2021-05-28T15:45:12+0000
012054,COMABBIO,VARESE,419,186,2021-05-28T15:45:12+0000
012055,COMERIO,VARESE,1164,596,2021-05-28T15:45:12+0000
012056,CREMENAGA,VARESE,247,105,2021-05-28T15:45:12+0000
012057,CROSIO DELLA VALLE,VARESE,267,118,2021-05-28T15:45:12+0000
012058,CUASSO AL MONTE,VARESE,1219,590,2021-05-28T15:45:12+0000
012059,CUGLIATE-FABIASCO,VARESE,1029,423,2021-05-28T15:45:12+0000
012060,CUNARDO,VARESE,1015,472,2021-05-28T15:45:12+0000
012061,CURIGLIA CON MONTEVIASCO,VARESE,64,34,2021-05-28T15:45:12+0000
012062,CUVEGLIO,VARESE,1203,485,2021-05-28T15:45:12+0000
012063,CUVIO,VARESE,669,302,2021-05-28T15:45:12+0000
012064,DAVERIO,VARESE,1226,517,2021-05-28T15:45:12+0000
012065,DUMENZA,VARESE,479,196,2021-05-28T15:45:12+0000
012066,DUNO,VARESE,47,22,2021-05-28T15:45:12+0000
012067,FAGNANO OLONA,VARESE,4419,2121,2021-05-28T15:45:12+0000
012068,FERNO,VARESE,2254,1028,2021-05-28T15:45:12+0000
012069,FERRERA DI VARESE,VARESE,209,74,2021-05-28T15:45:12+0000
012070,GALLARATE,VARESE,18627,9634,2021-05-28T15:45:12+0000
012071,GALLIATE LOMBARDO,VARESE,375,164,2021-05-28T15:45:12+0000
012072,GAVIRATE,VARESE,3868,1839,2021-05-28T15:45:12+0000
012073,GAZZADA SCHIANNO,VARESE,1879,897,2021-05-28T15:45:12+0000
012074,GEMONIO,VARESE,1050,456,2021-05-28T15:45:12+0000
012075,GERENZANO,VARESE,3722,1652,2021-05-28T15:45:12+0000
012076,GERMIGNAGA,VARESE,1387,608,2021-05-28T15:45:12+0000
012077,GOLASECCA,VARESE,926,408,2021-05-28T15:45:12+0000
012078,GORLA MAGGIORE,VARESE,1984,904,2021-05-28T15:45:12+0000
012079,GORLA MINORE,VARESE,2918,1428,2021-05-28T15:45:12+0000
012080,GORNATE-OLONA,VARESE,772,331,2021-05-28T15:45:12+0000
012081,GRANTOLA,VARESE,423,174,2021-05-28T15:45:12+0000
012082,INARZO,VARESE,396,190,2021-05-28T15:45:12+0000
012083,INDUNO OLONA,VARESE,4147,1918,2021-05-28T15:45:12+0000
012084,ISPRA,VARESE,2047,1058,2021-05-28T15:45:12+0000
012085,JERAGO CON ORAGO,VARESE,1902,901,2021-05-28T15:45:12+0000
012086,LAVENA PONTE TRESA,VARESE,1877,792,2021-05-28T15:45:12+0000
012087,LAVENO-MOMBELLO,VARESE,3851,1866,2021-05-28T15:45:12+0000
012088,LEGGIUNO,VARESE,1449,628,2021-05-28T15:45:12+0000
012089,LONATE CEPPINO,VARESE,1685,728,2021-05-28T15:45:12+0000
012090,LONATE POZZOLO,VARESE,4129,2105,2021-05-28T15:45:12+0000
012091,LOZZA,VARESE,475,219,2021-05-28T15:45:12+0000
012092,LUINO,VARESE,5441,2453,2021-05-28T15:45:12+0000
012093,LUVINATE,VARESE,605,298,2021-05-28T15:45:12+0000
012095,MALGESSO,VARESE,470,204,2021-05-28T15:45:12+0000
012096,MALNATE,VARESE,6343,3077,2021-05-28T15:45:12+0000
