somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta
0,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_16-19,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,16-19
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_16-19",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",16-19
2,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_20-29,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,20-29
2,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_20-29",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",20-29
8,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_30-39,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,30-39
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_30-39",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",30-39
7,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_40-49,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,40-49
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_40-49",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",40-49
10,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_50-59,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,50-59
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_50-59",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",50-59
3,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_60-69,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,60-69
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_60-69",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",60-69
0,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_70-79,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,70-79
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_70-79",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",70-79
0,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_80-89,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,80-89
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_80-89",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",80-89
0,Molise,TML_CAT_OSS,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_90+,1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,90+
0,Molise,TML_CAT_OSS,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_90+",1 - Operatori Sanitari e Sociosanitari,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",90+
0,Molise,TML_CAT_ALTRO,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_16-19,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,16-19
0,Molise,TML_CAT_PERSONALE,27/12/2020_PF/BT_MOL_140 001_P.O. ANTONIO CARDARELLI_16-19,2 - Personale non Sanitario,14,2020-12-27,PF/BT,140 001_P.O. ANTONIO CARDARELLI,16-19
0,Molise,TML_CAT_ALTRO,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_16-19",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",16-19
0,Molise,TML_CAT_PERSONALE,"27/12/2020_PF/BT_MOL_201_Casa di riposo ""Cannavina"" - Ripalimosani_16-19",2 - Personale non Sanitario,14,2020-12-27,PF/BT,"201_Casa di riposo ""Cannavina"" - Ripalimosani",16-19
