regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento,codice_regione,dataAggiornamento
Abruzzo,14341,73.037942,19635,1/12/2021 4:17:33 PM,13,2021-01-12 16:17:33
Basilicata,4697,39.788225,11805,1/12/2021 4:17:33 PM,17,2021-01-12 16:17:33
Calabria,12781,49.867343,25630,1/12/2021 4:17:33 PM,18,2021-01-12 16:17:33
Campania,72103,97.641005,73845,1/12/2021 4:17:33 PM,15,2021-01-12 16:17:33
Emilia-Romagna,80026,81.265296,98475,1/12/2021 4:17:33 PM,08,2021-01-12 16:17:33
Friuli-Venezia Giulia,18628,70.056412,26590,1/12/2021 4:17:33 PM,06,2021-01-12 16:17:33
Lazio,72244,76.404209,94555,1/12/2021 4:17:33 PM,12,2021-01-12 16:17:33
Liguria,20225,60.427248,33470,1/12/2021 4:17:33 PM,07,2021-01-12 16:17:33
Lombardia,85383,54.848718,155670,1/12/2021 4:17:33 PM,03,2021-01-12 16:17:33
Marche,14489,81.628169,17750,1/12/2021 4:17:33 PM,11,2021-01-12 16:17:33
Molise,3784,48.203822,7850,1/12/2021 4:17:33 PM,14,2021-01-12 16:17:33
P.A. Bolzano,6557,31.799224,20620,1/12/2021 4:17:33 PM,21,2021-01-12 16:17:33
P.A. Trento,7381,74.934010,9850,1/12/2021 4:17:33 PM,22,2021-01-12 16:17:33
Piemonte,57292,69.184881,82810,1/12/2021 4:17:33 PM,01,2021-01-12 16:17:33
Puglia,40039,53.667985,74605,1/12/2021 4:17:33 PM,16,2021-01-12 16:17:33
Sardegna,17556,89.207317,19680,1/12/2021 4:17:33 PM,20,2021-01-12 16:17:33
Sicilia,66847,84.955201,78685,1/12/2021 4:17:33 PM,19,2021-01-12 16:17:33
Toscana,49716,95.068362,52295,1/12/2021 4:17:33 PM,09,2021-01-12 16:17:33
Umbria,10267,104.392476,9835,1/12/2021 4:17:33 PM,10,2021-01-12 16:17:33
Valle d'Aosta,1969,99.949239,1970,1/12/2021 4:17:33 PM,02,2021-01-12 16:17:33
Veneto,75214,96.551990,77900,1/12/2021 4:17:33 PM,05,2021-01-12 16:17:33
