maschi,femmine,aggiornamento,dataAggiornamento
19932,26574,1/2/2021 5:03:24 PM,2021-01-02 17:03:24
22236,29801,1/2/2021 7:44:24 PM,2021-01-02 19:44:24
28524,38937,1/2/2021 10:08:52 PM,2021-01-02 22:08:52
28483,38858,1/2/2021 10:15:13 PM,2021-01-02 22:15:13
30158,42239,1/2/2021 11:15:13 PM,2021-01-02 23:15:13
34926,49101,1/3/2021 11:23:33 AM,2021-01-03 11:23:33
34087,50643,1/3/2021 1:04:06 PM,2021-01-03 13:04:06
47223,70893,1/3/2021 11:12:42 PM,2021-01-03 23:12:42
47450,71104,1/4/2021 12:59:39 AM,2021-01-04 00:59:39
49005,73523,1/4/2021 6:04:50 PM,2021-01-04 18:04:50
51437,77443,1/4/2021 7:33:17 PM,2021-01-04 19:33:17
59268,92338,1/4/2021 9:42:21 PM,2021-01-04 21:42:21
61857,96322,1/4/2021 10:44:35 PM,2021-01-04 22:44:35
70807,110192,1/5/2021 2:30:49 AM,2021-01-05 02:30:49
72250,110192,1/5/2021 2:39:19 PM,2021-01-05 14:39:19
75389,115622,1/5/2021 5:45:18 PM,2021-01-05 17:45:18
101571,115622,1/6/2021 12:11:03 AM,2021-01-06 00:11:03
101733,157748,1/6/2021 12:25:36 AM,2021-01-06 00:25:36
102261,158687,1/6/2021 2:09:47 PM,2021-01-06 14:09:47
106631,165676,1/6/2021 5:50:56 PM,2021-01-06 17:50:56
125423,195654,1/6/2021 11:01:31 PM,2021-01-06 23:01:31
126282,195654,1/7/2021 9:29:39 AM,2021-01-07 09:29:39
126282,196661,1/7/2021 9:29:39 AM,2021-01-07 09:29:39
145588,234322,1/7/2021 8:11:09 PM,2021-01-07 20:11:09
148439,234322,1/7/2021 9:24:58 PM,2021-01-07 21:24:58
148439,239088,1/7/2021 9:24:58 PM,2021-01-07 21:24:58
156527,239088,1/7/2021 11:24:23 PM,2021-01-07 23:24:23
159043,253576,1/8/2021 12:23:47 AM,2021-01-08 00:23:47
159208,253913,1/8/2021 10:06:26 AM,2021-01-08 10:06:26
180697,296214,1/8/2021 10:04:34 PM,2021-01-08 22:04:34
192415,312172,1/9/2021 12:37:23 AM,2021-01-09 00:37:23
216612,354072,1/9/2021 10:41:06 PM,2021-01-09 22:41:06
222315,360735,1/9/2021 11:51:54 PM,2021-01-09 23:51:54
225118,364680,1/10/2021 10:48:16 AM,2021-01-10 10:48:16
246510,396709,1/10/2021 10:41:57 PM,2021-01-10 22:41:57
250408,403954,1/11/2021 3:58:31 PM,2021-01-11 15:58:31
271601,442705,1/11/2021 11:13:19 PM,2021-01-11 23:13:19
273376,445421,1/12/2021 12:14:32 AM,2021-01-12 00:14:32
278118,453421,1/12/2021 4:17:33 PM,2021-01-12 16:17:33
299686,492048,1/12/2021 11:00:49 PM,2021-01-12 23:00:49
303122,497608,1/13/2021 10:28:46 AM,2021-01-13 10:28:46
334221,551593,1/13/2021 11:56:37 PM,2021-01-13 23:56:37
338231,558267,1/14/2021 3:42:53 PM,2021-01-14 15:42:53
349239,581439,1/14/2021 7:56:39 PM,2021-01-14 19:56:39
359815,601023,1/14/2021 10:37:21 PM,2021-01-14 22:37:21
364253,607846,1/14/2021 11:41:10 PM,2021-01-14 23:41:10
374570,627474,1/15/2021 5:14:52 PM,2021-01-15 17:14:52
387677,651689,1/15/2021 10:12:42 PM,2021-01-15 22:12:42
395092,664202,1/16/2021 10:45:07 AM,2021-01-16 10:45:07
399724,672362,1/16/2021 5:21:32 PM,2021-01-16 17:21:32
404717,680504,1/16/2021 7:33:29 PM,2021-01-16 19:33:29
417527,701067,1/16/2021 10:35:29 PM,2021-01-16 22:35:29
419479,703542,1/17/2021 12:59:41 PM,2021-01-17 12:59:41
431322,722179,1/17/2021 10:46:35 PM,2021-01-17 22:46:35
436189,730834,1/18/2021 9:12:06 PM,2021-01-18 21:12:06
