regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento
Abruzzo,135,1.701323,7935,1/2/2021 1:36:21 PM
Basilicata,105,2.108434,4980,1/2/2021 1:36:21 PM
Calabria,279,2.153609,12955,1/2/2021 1:36:21 PM
Campania,3111,9.185120,33870,1/2/2021 1:36:21 PM
Emilia-Romagna,3161,7.204558,43875,1/2/2021 1:36:21 PM
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 1:36:21 PM
Lazio,9526,20.796856,45805,1/2/2021 1:36:21 PM
Liguria,1269,7.971106,15920,1/2/2021 1:36:21 PM
Lombardia,2171,2.693715,80595,1/2/2021 1:36:21 PM
Marche,499,5.559889,8975,1/2/2021 1:36:21 PM
Molise,50,1.680672,2975,1/2/2021 1:36:21 PM
P.A. Bolzano,1037,17.297748,5995,1/2/2021 1:36:21 PM
P.A. Trento,1730,34.773869,4975,1/2/2021 1:36:21 PM
Piemonte,6024,14.734010,40885,1/2/2021 1:36:21 PM
Puglia,1956,7.565268,25855,1/2/2021 1:36:21 PM
Sardegna,242,1.882536,12855,1/2/2021 1:36:21 PM
Sicilia,2471,5.312836,46510,1/2/2021 1:36:21 PM
Toscana,3579,12.818768,27920,1/2/2021 1:36:21 PM
Umbria,676,13.629032,4960,1/2/2021 1:36:21 PM
Valle d'Aosta,20,2.010050,995,1/2/2021 1:36:21 PM
Veneto,6041,15.529563,38900,1/2/2021 1:36:21 PM
Abruzzo,135,1.701323,7935,1/2/2021 5:03:24 PM
Basilicata,105,2.108434,4980,1/2/2021 5:03:24 PM
Calabria,279,2.153609,12955,1/2/2021 5:03:24 PM
Campania,3111,9.185120,33870,1/2/2021 5:03:24 PM
Emilia-Romagna,3161,7.204558,43875,1/2/2021 5:03:24 PM
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 5:03:24 PM
Lazio,9692,21.159262,45805,1/2/2021 5:03:24 PM
Liguria,1334,8.379397,15920,1/2/2021 5:03:24 PM
Lombardia,2416,2.997705,80595,1/2/2021 5:03:24 PM
Marche,499,5.559889,8975,1/2/2021 5:03:24 PM
Molise,50,1.680672,2975,1/2/2021 5:03:24 PM
P.A. Bolzano,1037,17.297748,5995,1/2/2021 5:03:24 PM
P.A. Trento,1730,34.773869,4975,1/2/2021 5:03:24 PM
Piemonte,6024,14.734010,40885,1/2/2021 5:03:24 PM
Puglia,1956,7.565268,25855,1/2/2021 5:03:24 PM
Sardegna,242,1.882536,12855,1/2/2021 5:03:24 PM
Sicilia,2471,5.312836,46510,1/2/2021 5:03:24 PM
Toscana,3579,12.818768,27920,1/2/2021 5:03:24 PM
Umbria,676,13.629032,4960,1/2/2021 5:03:24 PM
Valle d'Aosta,20,2.010050,995,1/2/2021 5:03:24 PM
Veneto,6041,15.529563,38900,1/2/2021 5:03:24 PM
Abruzzo,349,4.398236,7935,1/2/2021 7:44:24 PM
Basilicata,225,4.518072,4980,1/2/2021 7:44:24 PM
Calabria,279,2.153609,12955,1/2/2021 7:44:24 PM
Campania,3111,9.185120,33870,1/2/2021 7:44:24 PM
Emilia-Romagna,4301,9.802849,43875,1/2/2021 7:44:24 PM
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 7:44:24 PM
Lazio,11566,25.250519,45805,1/2/2021 7:44:24 PM
Liguria,1670,10.489950,15920,1/2/2021 7:44:24 PM
Lombardia,2416,2.997705,80595,1/2/2021 7:44:24 PM
Marche,499,5.559889,8975,1/2/2021 7:44:24 PM
Molise,50,1.680672,2975,1/2/2021 7:44:24 PM
P.A. Bolzano,1037,17.297748,5995,1/2/2021 7:44:24 PM
P.A. Trento,1730,34.773869,4975,1/2/2021 7:44:24 PM
Piemonte,6024,14.734010,40885,1/2/2021 7:44:24 PM
Puglia,3481,13.463547,25855,1/2/2021 7:44:24 PM
Sardegna,242,1.882536,12855,1/2/2021 7:44:24 PM
Sicilia,2471,5.312836,46510,1/2/2021 7:44:24 PM
Toscana,3579,12.818768,27920,1/2/2021 7:44:24 PM
Umbria,980,19.758065,4960,1/2/2021 7:44:24 PM
Valle d'Aosta,38,3.819095,995,1/2/2021 7:44:24 PM
Veneto,6041,15.529563,38900,1/2/2021 7:44:24 PM
Abruzzo,685,8.632640,7935,1/2/2021 10:08:52 PM
Basilicata,423,8.493976,4980,1/2/2021 10:08:52 PM
Calabria,448,3.458124,12955,1/2/2021 10:08:52 PM
Campania,6671,19.695896,33870,1/2/2021 10:08:52 PM
Emilia-Romagna,5504,12.544729,43875,1/2/2021 10:08:52 PM
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 10:08:52 PM
Lazio,16366,35.729724,45805,1/2/2021 10:08:52 PM
Liguria,1889,11.865578,15920,1/2/2021 10:08:52 PM
Lombardia,2446,3.034928,80595,1/2/2021 10:08:52 PM
Marche,953,10.618384,8975,1/2/2021 10:08:52 PM
Molise,50,1.680672,2975,1/2/2021 10:08:52 PM
P.A. Bolzano,1037,17.297748,5995,1/2/2021 10:08:52 PM
P.A. Trento,1730,34.773869,4975,1/2/2021 10:08:52 PM
Piemonte,6024,14.734010,40885,1/2/2021 10:08:52 PM
Puglia,4607,17.818604,25855,1/2/2021 10:08:52 PM
Sardegna,302,2.349280,12855,1/2/2021 10:08:52 PM
Sicilia,2471,5.312836,46510,1/2/2021 10:08:52 PM
Toscana,6824,24.441261,27920,1/2/2021 10:08:52 PM
Umbria,980,19.758065,4960,1/2/2021 10:08:52 PM
Valle d'Aosta,62,6.231156,995,1/2/2021 10:08:52 PM
Veneto,6041,15.529563,38900,1/2/2021 10:08:52 PM
Abruzzo,685,8.632640,7935,1/2/2021 10:15:13 PM
Basilicata,303,6.084337,4980,1/2/2021 10:15:13 PM
Calabria,448,3.458124,12955,1/2/2021 10:15:13 PM
Campania,6671,19.695896,33870,1/2/2021 10:15:13 PM
Emilia-Romagna,5504,12.544729,43875,1/2/2021 10:15:13 PM
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 10:15:13 PM
Lazio,16366,35.729724,45805,1/2/2021 10:15:13 PM
Liguria,1889,11.865578,15920,1/2/2021 10:15:13 PM
Lombardia,2446,3.034928,80595,1/2/2021 10:15:13 PM
Marche,953,10.618384,8975,1/2/2021 10:15:13 PM
Molise,50,1.680672,2975,1/2/2021 10:15:13 PM
P.A. Bolzano,1037,17.297748,5995,1/2/2021 10:15:13 PM
P.A. Trento,1730,34.773869,4975,1/2/2021 10:15:13 PM
Piemonte,6024,14.734010,40885,1/2/2021 10:15:13 PM
Puglia,4607,17.818604,25855,1/2/2021 10:15:13 PM
Sardegna,302,2.349280,12855,1/2/2021 10:15:13 PM
Sicilia,2471,5.312836,46510,1/2/2021 10:15:13 PM
Toscana,6824,24.441261,27920,1/2/2021 10:15:13 PM
Umbria,980,19.758065,4960,1/2/2021 10:15:13 PM
Valle d'Aosta,62,6.231156,995,1/2/2021 10:15:13 PM
Veneto,6041,15.529563,38900,1/2/2021 10:15:13 PM
