ITTER107,NUTS2,Name,siglaRegione,COD_REG
ITF1,ITF1,Abruzzo,ABR,13
ITF5,ITF5,Basilicata,BAS,17
ITF6,ITF6,Calabria,CAL,18
ITF3,ITF3,Campania,CAM,15
ITD5,ITH5,Emilia-Romagna,EMR,08
ITD4,ITH4,Friuli-Venezia Giulia,FVG,06
ITE4,ITI4,Lazio,LAZ,12
ITC3,ITC3,Liguria,LIG,07
ITC4,ITC4,Lombardia,LOM,03
ITE3,ITI3,Marche,MAR,11
ITF2,ITF2,Molise,MOL,14
ITC1,ITC1,Piemonte,PIE,01
ITD1,ITH1,Provincia Autonoma Bolzano / Bozen,PAB,04
ITD2,ITH2,Provincia Autonoma Trento,PAT,04
ITF4,ITF4,Puglia,PUG,16
ITG2,ITG2,Sardegna,SAR,20
ITG1,ITG1,Sicilia,SIC,19
ITE1,ITI1,Toscana,TOS,09
ITE2,ITI2,Umbria,UMB,10
ITC2,ITC2,Valle d'Aosta / Vallée d'Aoste,VDA,02
ITD3,ITH3,Veneto,VEN,05
